Bit Pattern,Page,Header Type,Reference
00 xxxxxx,0,NALP,[RFC4944][RFC-ietf-6lo-paging-dispatch-05]
00 xxxxxx,1-14,Unassigned,
00 xxxxxx,15,Reserved for Experimental Use,[RFC-ietf-6lo-paging-dispatch-05]
01 000000,0,ESC,[RFC6282]
01 000000,1-14,Unassigned,
01 000000,15,Reserved for Experimental Use,[RFC-ietf-6lo-paging-dispatch-05]
01 000001,0,IPv6 - uncompressed IPv6 Addresses,[RFC4944][RFC-ietf-6lo-paging-dispatch-05]
01 000001,1-14,Unassigned,
01 000001,15,Reserved for Experimental Use,[RFC-ietf-6lo-paging-dispatch-05]
01 000010,0,LOWPAN_HC1 - LOWPAN_HC1 compressed IPv6,[RFC4944][RFC-ietf-6lo-paging-dispatch-05]
01 000010,1-14,Unassigned,
01 000010,15,Reserved for Experimental Use,[RFC-ietf-6lo-paging-dispatch-05]
01 000011,0,LOWPAN_DFF,[RFC6971][RFC-ietf-6lo-paging-dispatch-05]
01 000011,1-14,Unassigned,
01 000011,15,Reserved for Experimental Use,[RFC-ietf-6lo-paging-dispatch-05]
01 000100 through 01 001111,0-14,Unassigned,
01 000100 through 01 001111,15,Reserved for Experimental Use,[RFC-ietf-6lo-paging-dispatch-05]
01 010000,0,LOWPAN_BC0 - LOWPAN_BC0 broadcast,[RFC4944][RFC-ietf-6lo-paging-dispatch-05]
01 010000,1-14,Unassigned,
01 010000,15,Reserved for Experimental Use,[RFC-ietf-6lo-paging-dispatch-05]
01 010001 through 01 011111,0-14,Unassigned,
01 010001 through 01 011111,15,Reserved for Experimental Use,[RFC-ietf-6lo-paging-dispatch-05]
01 1xxxxx,0-1,LOWPAN_IPHC,[RFC6282][RFC-ietf-6lo-paging-dispatch-05]
01 1xxxxx,2-14,Unassigned,
01 1xxxxx,15,Reserved for Experimental Use,[RFC-ietf-6lo-paging-dispatch-05]
10 xxxxxx,0,MESH - Mesh header,[RFC4944][RFC-ietf-6lo-paging-dispatch-05]
10 xxxxxx,1-14,Unassigned,
10 xxxxxx,15,Reserved for Experimental Use,[RFC-ietf-6lo-paging-dispatch-05]
11 000xxx,0,FRAG1 -- Fragmentation Header (first),[RFC4944][RFC-ietf-6lo-paging-dispatch-05]
11 000xxx,1-14,Unassigned,
11 000xxx,15,Reserved for Experimental Use,[RFC-ietf-6lo-paging-dispatch-05]
11 001000 through 11 011111,0-14,Unassigned,
11 001000 through 11 011111,15,Reserved for Experimental Use,[RFC-ietf-6lo-paging-dispatch-05]
11 100xxx,0,FRAGN -- Fragmentation Header (subsequent),[RFC4944][RFC-ietf-6lo-paging-dispatch-05]
11 100xxx,1-14,Unassigned,
11 100xxx,15,Reserved for Experimental Use,[RFC-ietf-6lo-paging-dispatch-05]
11 101000 through 11 101111,0-14,Unassigned,
11 101000 through 11 101111,15,Reserved for Experimental Use,[RFC-ietf-6lo-paging-dispatch-05]
11 11xxxx,0-15,Page switch,[RFC-ietf-6lo-paging-dispatch-05]
