AVP Value,Attribute Name,Reference
0,Reserved,
1,DIAMETER_LOGOUT,[RFC3588][RFC6733]
2,DIAMETER_SERVICE_NOT_PROVIDED,[RFC3588][RFC6733]
3,DIAMETER_BAD_ANSWER,[RFC3588][RFC6733]
4,DIAMETER_ADMINISTRATIVE,[RFC3588][RFC6733]
5,DIAMETER_LINK_BROKEN,[RFC3588][RFC6733]
6,DIAMETER_AUTH_EXPIRED,[RFC3588][RFC6733]
7,DIAMETER_USER_MOVED,[RFC3588][RFC6733]
8,DIAMETER_SESSION_TIMEOUT,[RFC3588][RFC6733]
9-10,Unassigned,
11,User Request,[RFC2866][RFC7155]
12,Lost Carrier,[RFC2866][RFC7155]
13,Lost Service,[RFC2866][RFC7155]
14,Idle Timeout,[RFC2866][RFC7155]
15,Session Timeout,[RFC2866][RFC7155]
16,Admin Reset,[RFC2866][RFC7155]
17,Admin Reboot,[RFC2866][RFC7155]
18,Port Error,[RFC2866][RFC7155]
19,NAS Error,[RFC2866][RFC7155]
20,NAS Request,[RFC2866][RFC7155]
21,NAS Reboot,[RFC2866][RFC7155]
22,Port Unneeded,[RFC2866][RFC7155]
23,Port Preempted,[RFC2866][RFC7155]
24,Port Suspended,[RFC2866][RFC7155]
25,Service Unavailable,[RFC2866][RFC7155]
26,Callback,[RFC2866][RFC7155]
27,User Error,[RFC2866][RFC7155]
28,Host Request,[RFC2866][RFC7155]
29,Supplicant Restart,[RFC3580][RFC7155]
30,Reauthentication Failure,[RFC3580][RFC7155]
31,Port Reinitialized,[RFC3580][RFC7155]
32,Port Administratively Disabled,[RFC3580][RFC7155]
33-4294967295,Unassigned,
