ID Value,Name,Reference
0,Diameter common message,[RFC6733]
1,NASREQ,[RFC7155]
2,Mobile IPv4,[RFC4004]
3,Diameter base accounting,[RFC6733]
4,Diameter Credit Control,[RFC8506]
5,Diameter EAP,[RFC4072]
6,Diameter Session Initiation Protocol (SIP) Application,[RFC4740]
7,Diameter Mobile IPv6 IKE (MIP6I),[RFC5778]
8,Diameter Mobile IPv6 Auth (MIP6A),[RFC5778]
9,Diameter QoS application,[RFC5866]
10,Diameter Capabilities Update,[RFC6737]
11,Diameter IKE SK (IKESK),[RFC6738]
12,Diameter NAT Control Application,[RFC6736]
13,Diameter ERP,[RFC6942]
14-16777215,Unassigned,
16777216,3GPP Cx,[3GPP TS 29.228][3GPP TS 29.229]
16777217,3GPP Sh,[3GPP TS 29.328][3GPP TS 29.329]
16777218,3GPP Re,[3GPP TS 32.296][Kimmo_Kymalainen]
16777219,3GPP Wx,[3GPP TS 29.234][Kimmo_Kymalainen]
16777220,3GPP Zn,[3GPP TS 29.109][Kimmo_Kymalainen]
16777221,3GPP Zh,[3GPP TS 29.109][Kimmo_Kymalainen]
16777222,3GPP Gq,[3GPP TS 29.209][Kimmo_Kymalainen]
16777223,3GPP Gmb,[3GPP TS 29.061][Kimmo_Kymalainen]
16777224,3GPP Gx,[3GPP TS 29.210][Kimmo_Kymalainen]
16777225,3GPP Gx over Gy,[3GPP TS 29.210][Kimmo_Kymalainen]
16777226,3GPP MM10,[3GPP TS 29.140][Kimmo_Kymalainen]
16777227,Ericsson MSI,[German_Blanco]
16777228,Ericsson Zx,[German_Blanco]
16777229,3GPP Rx,[3GPP TS 29.211][Kimmo_Kymalainen]
16777230,3GPP Pr,[3GPP TS 29.234][Kimmo_Kymalainen]
16777231,ETSI e4,[ETSI ES 283 034]
16777232,Ericsson Charging-CIP,[Bjorn_Almen]
16777233,Ericsson Mm,[German_Blanco]
16777234,Vodafone Gx+,[Torsten_Oertel]
16777235,ITU-T Rs,[ITU-T Recommendation Q.3301.1]
16777236,3GPP Rx,[3GPP TS 29.214][Kimmo_Kymalainen]
16777237,3GPP2 Ty,[AC_Mahendran]
16777238,3GPP Gx,[3GPP TS 29.212][Kimmo_Kymalainen]
16777239,Juniper Cluster,[Vitaly_Dzhitenov]
16777240,Juniper Policy-Control-AAA,[Steffen_Ries]
16777241,iptego USPI,[Christian_Schubert]
16777242,Covergence-specific SIP routing,[Martin_Del_Vecchio]
16777243,Policy Processing,[OMA PEEM V1.0][Michael_Brenner]
16777244,Juniper Policy-Control-JSRC,[Jun_Chang]
16777245,ITU-T S-TC1,[ITU-T Recommendation Q.3221][Kwihoon_Kim]
16777246,NSN Unified Charging Trigger Function (UCTF),[http://www.3gpp.org/ftp/Specs/][Dan_D_Albuquerque]
16777247,3GPP2 CAN Access Authentication and Authorization,[ftp://ftp.3gpp2.org/TSGX/Projects/][Avi_Lior]
16777248,"3GPP2 WLAN Interworking Access Authentication and         
Authorization",[ftp://ftp.3gpp2.org/TSGX/Projects/][Avi_Lior]
16777249,3GPP2 WLAN Interworking Accounting,[ftp://ftp.3gpp2.org/TSGX/Projects/][Avi_Lior]
16777250,3GPP Sta,[3GPP TS 29.273][Kimmo_Kymalainen]
16777251,3GPP S6a,[3GPP TS 29.272][Kimmo_Kymalainen]
16777252,3GPP S13,[3GPP TS 29.272][Kimmo_Kymalainen]
16777253,ETSI Re,[ETSI TS 183 060][Shicheng_Hu]
16777254,ETSI GOCAP,[ETSI ES 283 039][Shicheng_Hu]
16777255,SLg,[3GPP TS 29.172][Kimmo_Kymalainen]
16777256,ITU-T Rw,[ITU-T Rec. Q.3303.3][RFC5431]
16777257,ETSI a4,[Shicheng_Hu]
16777258,ITU-T Rt,[ITU-T Rec. Q.3305.1][Tom_Taylor]
16777259,CARA,[Sachin_Rathee]
16777260,CAMA,[Sachin_Rathee]
16777261,Femtocell extension to Diameter EAP Application,[Vitaly_Dzhitenov]
16777262,ITU-T Ru,[ITU-T Rec. Q.nacp.Ru Q.nacp.Ru][Hyungseok_Chung]
16777263,ITU-T Ng,[ITU-T Rec. Q.nacp.Ru Q.nacp.Ru][Kwihoon_Kim]
16777264,3GPP SWm,[3GPP TS 29.273][Kimmo_Kymalainen]
16777265,3GPP SWx,[3GPP TS 29.273][Kimmo_Kymalainen]
16777266,3GPP Gxx,[3GPP TS 29.212][Kimmo_Kymalainen]
16777267,3GPP S9,[3GPP TS 29.215][Kimmo_Kymalainen]
16777268,3GPP Zpn,[3GPP TS 29.109][Kimmo_Kymalainen]
16777269,Ericsson HSI,[German_Blanco]
16777270,Juniper-Example,[Aleksey_Romanov]
16777271,ITU-T Ri,[ITU-T Rec. Q.3307.1][Michiaki_Hayashi]
16777272,3GPP S6b,[3GPP TS 29.273][Kimmo_Kymalainen]
16777273,Juniper JGx,[Claudio_Lordello]
16777274,ITU-T Rd,[ITU-T Rec. Q.3306.1][Janusz_Pieczerak]
16777275,ADMI Notification Application,[Tomas_Menzl]
16777276,ADMI Messaging Interface Application,[Tomas_Menzl]
16777277,Peter-Service VSI,[Alexey_Grishin]
16777278,ETSI Rr request model,[ETSI TS 183 071][Miguel_Angel_Reina_Ortega]
16777279,ETSI Rr delegated model,[ETSI TS 183 071][Miguel_Angel_Reina_Ortega]
16777280,WIMAX HRPD Interworking,[3GPP2 X.S0058-0 v1.0][Avi_Lior]
16777281,WiMAX Network Access Authentication and Authorization Diameter Application (WNAAADA),[WiMAX Release 1.5][Avi_Lior]
16777282,WiMAX Network Accounting Diameter Application (WNADA),[WiMAX Release 1.5][Avi_Lior]
16777283,WiMAX MIP4 Diameter Application (WM4DA),[WiMAX Release 1.5][Avi_Lior]
16777284,WiMAX MIP6 Diameter Application (WM6DA),[WiMAX Release 1.5][Avi_Lior]
16777285,WiMAX DHCP Diameter Application (WDDA),[WiMAX Release 1.5][Avi_Lior]
16777286,WiMAX-Location-Authentication-Authorization Diameter Application (WLAADA),[WiMAX Release 1.5][Avi_Lior]
16777287,WiMAX-Policy-and-Charging-Control-R3-Policies Diameter Application (WiMAX PCC-R3-P),[WiMAX Release 1.5][Avi_Lior]
16777288,WiMAX-Policy-and-Charging-Control-R3-OFfline-Charging Diameter Application (WiMAX PCC-R3-OFC),[WiMAX Release 1.5][Avi_Lior]
16777289,WiMAX-Policy-and-Charging-Control-R3-Offline-Charging-Prime Diameter Application (WiMAX PCC-R3-OFC-PRIME),[WiMAX Release 1.5][Avi_Lior]
16777290,WiMAX-Policy-and-Charging-Control-R3-Online-Charging Diameter Application (WiMAX PCC-R3-OC),[WiMAX Release 1.5][Avi_Lior]
16777291,3GPP SLh,[3GPP TS 29.173][Kimmo_Kymalainen]
16777292,3GPP SGmb,[3GPP TS 29.061][Kimmo_Kymalainen]
16777293,CMDI - Cloudmark Diameter Interface,[Sanjiv_Parikh]
16777294,Camiant DRMA,[Tarek_Abou-Assali][Michael_Mercurio]
16777295,PiLTE Interworking Diameter Application,[3GPP2 publication X.S0057][Avi_Lior]
16777296,Juniper-Sessions-Recovery (JSR),[Aleksey_Romanov]
16777297,Vedicis LiveProxy,[Francois-Frederic_Ozog]
16777298,Pi*3GPP2 Diameter Application,[3GPP2 publication X.S0057A E-UTRAN eHRPD][Avi_Lior]
16777299,Sandvine Rf+,[Yoni_Eitan]
16777300,Subscription Information Application,[Lars_Anglert]
16777301,Ericsson Charging-DCIP,[Lars_Anglert]
16777302,3GPP Sy,[3GPP TS 29.219][Kimmo_Kymalainen]
16777303,3GPP Sd,[3GPP TS 29.212][Kimmo_Kymalainen]
16777304,Ericsson Sy,[Lars_Anglert]
16777305,HP DTD,[Chiranjeev_Agrawal][J_V_Kishore]
16777306,M9 interface between MLM-PE(P) and MLM-PE(C),[ITU-T Q5/Sg11][Jin_Seek_Choi]
16777307,ITU-T M13,[ITU-T Q.3230][Kwihoon_Kim]
16777308,3GPP S7a,[3GPP TS 29.272][Kimmo_Kymalainen]
16777309,3GPP Tsp,[3GPP TS 29.368][Kimmo_Kymalainen]
16777310,3GPP S6m,[3GPP TS 29.336][Kimmo_Kymalainen]
16777311,3GPP T4,[3GPP TS 29.337][Kimmo_Kymalainen]
16777312,3GPP S6c,[3GPP TS 29.338][Kimmo_Kymalainen]
16777313,3GPP SGd,[3GPP TS 29.338][Kimmo_Kymalainen]
16777314,Intrado-SLg,[Scott_Luallin]
16777315,Ericsson Diameter Signalling Controller Application (DSC),[Klaus_Turina]
16777316,Verizon-Femto-Loc,[Niranjan_Avula]
16777317,Nokia Siemens Networks (NSN) Hd Application,[Hannes_Tschofenig]
16777318,3GPP S15,[3GPP TS 29.212][Kimmo_Kymalainen]
16777319,3GPP S9a,[3GPP TS 29.215][Kimmo_Kymalainen]
16777320,3GPP S9a*,[3GPP TS 29.215][Kimmo_Kymalainen]
16777321,Gateway Location Application,[Steve_Donovan]
16777322,Verizon Session Recovery,[Niranjan_Avula]
16777323,3GPP2 M1 Interface,[3GPP2 X.S0068][Jun_Wang]
16777324,MAGIC Client Interface Protocol (CIP),[ARINC 839][Paul_Prisaznuk][Manfred_Benten]
16777325,ITU-T Nc,[ITU-T Rec. Q.nacp.Nc][Kwihoon_Kim]
16777326,ITU-T Ne,[ITU-T Rec. Q.nacp.Ne][Kwihoon_Kim]
16777327,Ericsson Sx,[Irene_Martin]
16777328,"Nokia Service Extension, NSE",[Timo_Perala]
16777329,Rivada Xd,[Vincent_D_Onofrio]
16777330,Rivada Xm,[Vincent_D_Onofrio]
16777331,Rivada Xh,[Vincent_D_Onofrio]
16777332,Rivada Xf,[Vincent_D_Onofrio]
16777333,Rivada Xp,[Vincent_D_Onofrio]
16777334,Rivada Xa,[Vincent_D_Onofrio]
16777335,3GPP MB2-C,[3GPP TS 29.468][Kimmo_Kymalainen]
16777336,3GPP PC4a,[3GPP TS 29.344][Kimmo_Kymalainen]
16777337,3GPP PC2,[3GPP TS 29.343][Kimmo_Kymalainen]
16777338,Juniper Domain Policy,[Vitaly_Dzhitenov]
16777339,Host Observer,[Laimutis_Slecpenka]
16777340,3GPP PC6/PC7,[3GPP TS 29.345][Kimmo_Kymalainen]
16777341,Nokia Sdr Application,[Timo_Perala]
16777342,3GPP Np,[3GPP TS 29.217][Kimmo_Kymalainen]
16777343,Sandvine Location Relay Service,[Inian_Vasanth]
16777344,Sandvine Fairshare Traffic Management Service,[Inian_Vasanth]
16777345,3GPP S6t,[3GPP TS 29.336][Kimmo_Kymalainen]
16777346,3GPP T6a/T6b,[3GPP TS 29.128][Kimmo_Kymalainen]
16777347,3GPP Ns,[3GPP TS 29.153][Kimmo_Kymalainen]
16777348,3GPP Nt,[3GPP TS 29.154][Kimmo_Kymalainen]
16777349,3GPP St,[3GPP TS 29.212][Kimmo_Kymalainen]
16777350,3GPP PC2,[3GPP TS 29.343][Kimmo_Kymalainen]
16777351,3GPP Diameter Data Management,[3GPP TS 29.283][Kimmo_Kymalainen]
16777352,ITU-T M1,[ITU-T Recommendation Q.nacp.M1][Kwihoon_Kim]
16777353,ITU-T M2,[ITU-T Recommendation Q.nacp.M2][Kwihoon_Kim]
16777354,Verizon-NLS-WDS,[Niranjan_Avula]
16777355,3GPP V4,[3GPP TS 29.388][Kimmo_Kymalainen]
16777356,3GPP V6,[3GPP TS 29.389][Kimmo_Kymalainen]
16777357,OMN Adapt Application,[Jarda_Nedved]
16777358,3GPP Nta,[3GPP TS 29.154][Kimmo_Kymalainen]
16777359,Ericsson Charging - SBI Policy,[S.Dhanalakshmi]
16777360-4294967294,Unassigned,
4294967295,Relay,[RFC6733]
