Identifier,Intended Semantics,Reference
routingcost,See Section 6.1.1.1 of [RFC7285],[RFC7285]
delay-ow,See Section 4.1 of [RFC9439],[RFC9439]
delay-rt,See Section 4.2 of [RFC9439],[RFC9439]
delay-variation,See Section 4.3 of [RFC9439],[RFC9439]
lossrate,See Section 4.4 of [RFC9439],[RFC9439]
hopcount,See Section 4.5 of [RFC9439],[RFC9439]
tput,See Section 5.1 of [RFC9439],[RFC9439]
bw-residual,See Section 5.2 of [RFC9439],[RFC9439]
bw-available,See Section 5.3 of [RFC9439],[RFC9439]
ane-path,See Section 6.5.1 of [RFC9275],[RFC9275]
