Value,Name,Tech Type,Capability Data?,Reference
0,Reserved,,,[RFC6320]
1,DSL Topology Discovery,5,No,[RFC6320]
2,DSL Line Configuration,5,No,[RFC6320]
3,NAS-Initiated Multicast Replication,0,No,[RFC7256]
4,DSL Line Testing,5,No,[RFC6320]
5,Committed Bandwidth Reporting,0,No,[RFC7256]
6,Conditional Access and Admission Control With White and Black Lists,0,No,[RFC7256]
7,Conditional Access and Admission Control With Grey Lists,0,No,[RFC7256]
8,Bandwidth Delegation,0,No,[RFC7256]
9-255,Unassigned,,,
