Type,Name,Reference
0,Pad1,[RFC-ietf-babel-rfc6126bis-20]
1,PadN,[RFC-ietf-babel-rfc6126bis-20]
2,Diversity,[draft-chroboczek-babel-diversity-routing]
3,Timestamp,[draft-jonglez-babel-rtt-extension]
4-111,Unassigned,
112-126,Reserved for Experimental Use,[RFC-ietf-babel-rfc6126bis-20]
127,Reserved for expansion of the type space,[RFC-ietf-babel-rfc6126bis-20]
128,Source Prefix,[draft-ietf-babel-source-specific]
129-239,Unassigned,
240-254,Reserved for Experimental Use,[RFC-ietf-babel-rfc6126bis-20]
255,Reserved for expansion of the type space,[RFC-ietf-babel-rfc6126bis-20]
