Type,Primitive,Reference
1,FloorRequest,[RFC-ietf-bfcpbis-rfc4582bis-16]
2,FloorRelease,[RFC-ietf-bfcpbis-rfc4582bis-16]
3,FloorRequestQuery,[RFC-ietf-bfcpbis-rfc4582bis-16]
4,FloorRequestStatus,[RFC-ietf-bfcpbis-rfc4582bis-16]
5,UserQuery,[RFC-ietf-bfcpbis-rfc4582bis-16]
6,UserStatus,[RFC-ietf-bfcpbis-rfc4582bis-16]
7,FloorQuery,[RFC-ietf-bfcpbis-rfc4582bis-16]
8,FloorStatus,[RFC-ietf-bfcpbis-rfc4582bis-16]
9,ChairAction,[RFC-ietf-bfcpbis-rfc4582bis-16]
10,ChairActionAck,[RFC-ietf-bfcpbis-rfc4582bis-16]
11,Hello,[RFC-ietf-bfcpbis-rfc4582bis-16]
12,HelloAck,[RFC-ietf-bfcpbis-rfc4582bis-16]
13,Error,[RFC-ietf-bfcpbis-rfc4582bis-16]
14,FloorRequestStatusAck,[RFC-ietf-bfcpbis-rfc4582bis-16]
15,FloorStatusAck,[RFC-ietf-bfcpbis-rfc4582bis-16]
16,Goodbye,[RFC-ietf-bfcpbis-rfc4582bis-16]
17,GoodbyeAck,[RFC-ietf-bfcpbis-rfc4582bis-16]
