Type,Meaning,Reference
1,Conference Does Not Exist,[RFC8855]
2,User Does Not Exist,[RFC8855]
3,Unknown Primitive,[RFC8855]
4,Unknown Mandatory Attribute,[RFC8855]
5,Unauthorized Operation,[RFC8855]
6,Invalid Floor ID,[RFC8855]
7,Floor Request ID Does Not Exist,[RFC8855]
8,You have Already Reached the Maximum Number of Ongoing Floor Requests for This Floor,[RFC8855]
9,Use TLS,[RFC8855]
10,Unable to Parse Message,[RFC8855]
11,Use DTLS,[RFC8855]
12,Unsupported Version,[RFC8855]
13,Incorrect Message Length,[RFC8855]
14,Generic Error,[RFC8855]
