Sub-Type Value,Name,Reference,Date
0x00,OSPF Route Type (deprecated),[RFC4577],2014-08-01
0x01,OSPF Router ID (deprecated),[RFC4577],2014-08-01
0x02-0x04,Unassigned,,
0x05,OSPF Domain Identifier (deprecated),[RFC4577],2014-08-01
0x06,Flow spec traffic-rate,[RFC5575],
0x07,"Flow spec traffic-action (Use of the ""Value"" field is defined in the ""Traffic Action Fields"" registry)",[RFC5575],
0x08,Flow spec redirect AS-2byte format,[RFC5575][RFC7674],
0x09,Flow spec traffic-remarking,[RFC5575],
0x0a,Layer2 Info Extended Community,[RFC4761],
0x0b,E-Tree Info,[RFC7796],2014-11-24
0x0c-0xff,Unassigned,,
