Sub-Type Value,Name,Reference,Date
0x00,MAC Mobility,[RFC7432],2012-07-11
0x01,ESI Label,[RFC7432],2012-07-11
0x02,ES-Import Route Target,[RFC7432],2012-07-11
0x03,EVPN Router’s MAC Extended Community,[draft-sajassi-l2vpn-evpn-inter-subnet-forwarding],2014-09-23
0x04,EVPN Layer 2 Attributes,[RFC8214],2016-05-11
0x05,E-Tree Extended Community,[RFC8317],2016-05-11
0x06,DF Election Extended Community,[draft-ietf-bess-evpn-df-election],2016-05-11
0x07,I-SID Extended Community,[draft-sajassi-bess-evpn-virtual-eth-segment],2016-05-11
0x08,ND Extended Community,[draft-snr-bess-evpn-na-flags],2017-01-10
0x09,Multicast Flags Extended Community,[draft-ietf-bess-evpn-igmp-mld-proxy],2017-11-06
0x0A,EVI-RT Type 0 Extended Community,[draft-ietf-bess-evpn-igmp-mld-proxy],2017-11-06
0x0B,EVI-RT Type 1 Extended Community,[draft-ietf-bess-evpn-igmp-mld-proxy],2018-06-06
0x0C,EVI-RT Type 2 Extended Community,[draft-ietf-bess-evpn-igmp-mld-proxy],2018-06-06
0x0D,EVI-RT Type 3 Extended Community,[draft-ietf-bess-evpn-igmp-mld-proxy],2018-06-26
0x0E-0xff,Unassigned,,
