Sub-Type Value,Name,Reference,Date
0x00-0x01,Unassigned,,
0x02,Route Target,[RFC5668],
0x03,Route Origin,[RFC5668],
0x04,Generic (deprecated),[draft-ietf-idr-as4octet-extcomm-generic-subtype],
0x05,OSPF Domain Identifier,[RFC4577],
0x06,Route Aggregation Parameter,[Enke_Chen],2023-07-31
0x07,Unassigned,,
0x08,BGP Data Collection,[RFC4384],
0x09,Source AS,[RFC6514],
0x0a-0x0f,Unassigned,,
0x10,Cisco VPN Identifier,[Eric_Rosen],2012-04-10
0x11-0x12,Unassigned,,
0x13,Route-Target Record,[draft-ietf-bess-service-chaining],2016-08-29
0x14,Unassigned,,
0x15,RT-derived-EC,[draft-zzhang-idr-rt-derived-community-00],2021-03-09
0x16-0xff,Unassigned,,
