Sub-Type Value,Name,Reference,Date
0x00,Unassigned (DEPRECATED),,2014-01-08
0x01,Unassigned,,
0x02,Route Target,[RFC4360],
0x03,Route Origin,[RFC4360],
0x04,Unassigned,,
0x05,OSPF Domain Identifier,[RFC4577],
0x06,Unassigned,,
0x07,OSPF Route ID,[RFC4577],
0x08-0x09,Unassigned,,
0x0a,L2VPN Identifier,[RFC6074],
0x0b,VRF Route Import,[RFC6514],
0x0c-0x0f,Unassigned,,
0x10,Cisco VPN-Distinguisher,[Eric_Rosen],2012-04-10
0x11,Unassigned,,
0x12,Inter-Area P2MP Segmented Next-Hop,[RFC7524],2014-01-08
0x13-0xff,Unassigned,,
