Sub-Type Value,Name,Reference,Date
0x00-0x01,Unassigned,,
0x02,Route Target,[RFC4360],
0x03,Route Origin,[RFC4360],
0x04,Unassigned,,
0x05,OSPF Domain Identifier,[RFC4577],
0x06-0x07,Unassigned,,
0x08,BGP Data Collection,[RFC4384],
0x09,Source AS,[RFC6514],
0x0a,L2VPN Identifier,[RFC6074],
0x0b-0x0f,Unassigned,,
0x10,Cisco VPN-Distinguisher,[Eric_Rosen],2012-04-10
0x11-0x12,Unassigned,,
0x13,Route-Target Record,[draft-ietf-bess-service-chaining],2016-08-29
0x14,Unassigned,,
0x15,RT-derived-EC,[draft-zzhang-idr-rt-derived-community-00],2021-03-09
0x16-0x7f,Unassigned,,
0x80,Virtual-Network Identifier Extended Community,[Manju_Ramesh],2019-06-19
0x81-0xff,Unassigned,,
