TLV Code Point,Description,Reference
0-255,Reserved,[RFC-ietf-idr-rfc7752bis-16]
256,Local Node Descriptors,"[RFC-ietf-idr-rfc7752bis-16, Section 5.2.1.2]"
257,Remote Node Descriptors,"[RFC-ietf-idr-rfc7752bis-16, Section 5.2.1.3]"
258,Link Local/Remote Identifiers,"[RFC-ietf-idr-rfc7752bis-16, Section 5.2.2]"
259,IPv4 interface address,"[RFC-ietf-idr-rfc7752bis-16, Section 5.2.2]"
260,IPv4 neighbor address,"[RFC-ietf-idr-rfc7752bis-16, Section 5.2.2]"
261,IPv6 interface address,"[RFC-ietf-idr-rfc7752bis-16, Section 5.2.2]"
262,IPv6 neighbor address,"[RFC-ietf-idr-rfc7752bis-16, Section 5.2.2]"
263,Multi-Topology ID,"[RFC-ietf-idr-rfc7752bis-16, Section 5.2.2.1]"
264,OSPF Route Type,"[RFC-ietf-idr-rfc7752bis-16, Section 5.2.3]"
265,IP Reachability Information,"[RFC-ietf-idr-rfc7752bis-16, Section 5.2.3]"
266,Node MSD,[RFC8814]
267,Link MSD,[RFC8814]
268-511,Unassigned,
512,Autonomous System,"[RFC-ietf-idr-rfc7752bis-16, Section 5.2.1.4]"
513,BGP-LS Identifier,"[RFC-ietf-idr-rfc7752bis-16, Section 5.2.1.4]"
514,OSPF Area-ID,"[RFC-ietf-idr-rfc7752bis-16, Section 5.2.1.4]"
515,IGP Router-ID,"[RFC-ietf-idr-rfc7752bis-16, Section 5.2.1.4]"
516,BGP Router-ID,[RFC9086]
517,BGP Confederation Member,[RFC9086]
518,SRv6 SID Information,[RFC-ietf-idr-bgpls-srv6-ext-14]
519-549,Unassigned,
550,Tunnel ID TLV,[draft-ietf-idr-te-lsp-distribution-17]
551,LSP ID TLV,[draft-ietf-idr-te-lsp-distribution-17]
552,IPv4/6 Tunnel Head-end address TLV,[draft-ietf-idr-te-lsp-distribution-17]
553,IPv4/6 Tunnel Tail-end address TLV,[draft-ietf-idr-te-lsp-distribution-17]
554,SR Policy CP Descriptor TLV,[draft-ietf-idr-te-lsp-distribution-17]
555,MPLS Local Cross Connect TLV,[draft-ietf-idr-te-lsp-distribution-17]
556,MPLS Cross Connect Interface TLV,[draft-ietf-idr-te-lsp-distribution-17]
557,MPLS Cross Connect FEC TLV,[draft-ietf-idr-te-lsp-distribution-17]
558-1023,Unassigned,
1024,Node Flag Bits,"[RFC-ietf-idr-rfc7752bis-16, Section 5.3.1.1]"
1025,Opaque Node Attribute,"[RFC-ietf-idr-rfc7752bis-16, Section 5.3.1.5]"
1026,Node Name,"[RFC-ietf-idr-rfc7752bis-16, Section 5.3.1.3]"
1027,IS-IS Area Identifier,"[RFC-ietf-idr-rfc7752bis-16, Section 5.3.1.2]"
1028,IPv4 Router-ID of Local Node,"[RFC-ietf-idr-rfc7752bis-16, Section 5.3.1.4/Section 5.3.2.1]"
1029,IPv6 Router-ID of Local Node,"[RFC-ietf-idr-rfc7752bis-16, Section 5.3.1.4/Section 5.3.2.1]"
1030,IPv4 Router-ID of Remote Node,"[RFC-ietf-idr-rfc7752bis-16, Section 5.3.2.1]"
1031,IPv6 Router-ID of Remote Node,"[RFC-ietf-idr-rfc7752bis-16, Section 5.3.2.1]"
1032,S-BFD Discriminators,[RFC9247]
1033,Unassigned,
1034,SR Capabilities,"[RFC9085, Section 2.1.2]"
1035,SR Algorithm,"[RFC9085, Section 2.1.3]"
1036,SR Local Block,"[RFC9085, Section 2.1.4]"
1037,SRMS Preference,"[RFC9085, Section 2.1.5]"
1038,SRv6 Capabilities,[RFC-ietf-idr-bgpls-srv6-ext-14]
1039,Flexible Algorithm Definition,[RFC9351]
1040,Flexible Algorithm Exclude-Any Affinity,[RFC9351]
1041,Flexible Algorithm Include-Any Affinity,[RFC9351]
1042,Flexible Algorithm Include-All Affinity,[RFC9351]
1043,Flexible Algorithm Definition Flags,[RFC9351]
1044,Flexible Algorithm Prefix Metric,[RFC9351]
1045,Flexible Algorithm Exclude SRLG,[RFC9351]
1046,Flexible Algorithm Unsupported,[RFC9351]
1047-1087,Unassigned,
1088,Administrative group (color),"[RFC-ietf-idr-rfc7752bis-16, Section 5.3.2]"
1089,Maximum link bandwidth,"[RFC-ietf-idr-rfc7752bis-16, Section 5.3.2]"
1090,Max. reservable link bandwidth,"[RFC-ietf-idr-rfc7752bis-16, Section 5.3.2]"
1091,Unreserved bandwidth,"[RFC-ietf-idr-rfc7752bis-16, Section 5.3.2]"
1092,TE Default Metric,"[RFC-ietf-idr-rfc7752bis-16, Section 5.3.2.3]"
1093,Link Protection Type,"[RFC-ietf-idr-rfc7752bis-16, Section 5.3.2]"
