Protocol-ID,NLRI information source protocol,Reference
0,Reserved,[RFC7752]
1,IS-IS Level 1,[RFC7752]
2,IS-IS Level 2,[RFC7752]
3,OSPFv2,[RFC7752]
4,Direct,[RFC7752]
5,Static configuration,[RFC7752]
6,OSPFv3,[RFC7752]
7,BGP,[RFC9086]
8,"RSVP-TE (TEMPORARY - registered 2019-09-17, extension registered 2021-08-27, expires 2022-09-17)",[draft-ietf-idr-te-lsp-distribution-14]
9,"Segment Routing (TEMPORARY - registered 2019-09-17, extension registered 2021-08-27, expires 2022-09-17)",[draft-ietf-idr-te-lsp-distribution-14]
10-255,Unassigned,
