Value,Name,Reference
0,Reserved,
1,Maximum Number of Prefixes Reached,[RFC4486]
2,Administrative Shutdown,[RFC4486][RFC-ietf-idr-shutdown-10]
3,Peer De-configured,[RFC4486]
4,Administrative Reset,[RFC4486][RFC-ietf-idr-shutdown-10]
5,Connection Rejected,[RFC4486]
6,Other Configuration Change,[RFC4486]
7,Connection Collision Resolution,[RFC4486]
8,Out of Resources,[RFC4486]
9,"Hard Reset (TEMPORARY - registered 2017-04-21, expires 2018-04-21)",[draft-ietf-idr-bgp-gr-notification]
10-255,Unassigned,
