Value,Name,Reference
0,Reserved,[RFC5512]
1,Encapsulation,[RFC5512]
2,Protocol Type,[RFC5512]
3,IPsec Tunnel Authenticator,[RFC5566]
4,Color,[RFC5512]
5,Load-Balancing Block,[RFC5640]
6,"Remote Endpoint (TEMPORARY - registered 2017-07-18, expires 2018-07-18)",[draft-ietf-idr-tunnel-encaps]
7,"IPv4 DS Field (TEMPORARY - registered 2017-07-18, expires 2018-07-18)",[draft-ietf-idr-tunnel-encaps]
8,"UDP Destination Port (TEMPORARY - registered 2017-07-18, expires 2018-07-18)",[draft-ietf-idr-tunnel-encaps]
9,"Embedded Label Handling (TEMPORARY - registered 2017-07-18, expires 2018-07-18)",[draft-ietf-idr-tunnel-encaps]
10,"MPLS Label Stack (TEMPORARY - registered 2017-07-18, expires 2018-07-18)",[draft-ietf-idr-tunnel-encaps]
11,"Prefix SID (TEMPORARY - registered 2017-07-18, expires 2018-07-18)",[draft-ietf-idr-tunnel-encaps]
12-255,Unassigned,
