Value,Name,Reference
0,Reserved,[RFC5512]
1,L2TPv3 over IP,[RFC5512]
2,GRE,[RFC5512]
3,Transmit tunnel endpoint,[RFC5566]
4,IPsec in Tunnel-mode,[RFC5566]
5,IP in IP tunnel with IPsec Transport Mode,[RFC5566]
6,MPLS-in-IP tunnel with IPsec Transport Mode,[RFC5566]
7,IP in IP,[RFC5512]
8,VXLAN Encapsulation,[RFC8365]
9,NVGRE Encapsulation,[RFC8365]
10,MPLS Encapsulation,[RFC8365]
11,MPLS in GRE Encapsulation,[RFC8365]
12,VXLAN GPE Encapsulation,[RFC8365]
13,MPLS in UDP Encapsulation,[RFC7510][RFC Errata 4350]
14,IPv6 Tunnel,[Martin_Djernaes]
15,SR TE Policy Type,[draft-previdi-idr-segment-routing-te-policy]
16,Bare,[Nischal_Sheth]
17-65535,Unassigned,
