Value,Description,Reference
0,Reserved,[RFC8296]
1,MPLS packet with downstream-assigned label at top of stack,[RFC8296]
2,MPLS packet with upstream-assigned label at top of stack,[RFC8296]
3,Ethernet frame,[RFC8296]
4,IPv4 packet,[RFC8296]
5,OAM packet,[draft-ietf-bier-ping]
6,IPv6 packet,[RFC8296]
7,Payload is VXLAN encapsulated (no IP/UDP header),[RFC-ietf-bier-evpn-14]
8,Payload is NVGRE encapsulated (no IP header),[RFC-ietf-bier-evpn-14]
9,Payload is GENEVE encapsulated (no IP/UDP header),[RFC-ietf-bier-evpn-14]
10-62,Unassigned,
63,Reserved,[RFC8296]
