Stat Type,Description,Reference
0,Number of prefixes rejected by inbound policy,[RFC7854]
1,Number of (known) duplicate prefix advertisements,[RFC7854]
2,Number of (known) duplicate withdraws,[RFC7854]
3,Number of updates invalidated due to CLUSTER_LIST loop,[RFC7854]
4,Number of updates invalidated due to AS_PATH loop,[RFC7854]
5,Number of updates invalidated due to ORIGINATOR_ID,[RFC7854]
6,"Number of updates invalidated due to a loop found in 
        AS_CONFED_SEQUENCE or AS_CONFED_SET",[RFC7854]
7,Number of routes in Adj-RIBs-In,[RFC7854]
8,Number of routes in Loc-RIB,[RFC7854]
9,Number of routes in per-AFI/SAFI Adj-RIB-In,[RFC7854]
10,Number of routes in per-AFI/SAFI Loc-RIB,[RFC7854]
11,Number of updates subjected to treat-as-withdraw,[RFC7854]
12,Number of prefixes subjected to treat-as-withdraw,[RFC7854]
13,Number of duplicate update messages received,[RFC7854]
14,"Number of routes in Adj-RIBs-Out Pre-Policy (TEMPORARY - registered 2018-12-13, expires 2019-12-13)",[draft-ietf-grow-bmp-adj-rib-out]
15,"Number of routes in Adj-RIBs-Out Post-Policy (TEMPORARY - registered 2018-12-13, expires 2019-12-13)",[draft-ietf-grow-bmp-adj-rib-out]
16,"Number of routes in per-AFI/SAFI Adj-RIB-Out Pre-Policy (TEMPORARY - registered 2018-12-13, expires 2019-12-13)",[draft-ietf-grow-bmp-adj-rib-out]
17,"Number of routes in per-AFI/SAFI Adj-RIB-Out Post-Policy (TEMPORARY - registered 2018-12-13, expires 2019-12-13)",[draft-ietf-grow-bmp-adj-rib-out]
18-65530,Unassigned,
65531-65534,Experimental,[RFC7854]
65535,Reserved,[RFC7854]
