Code,Sub-Option Description,Reference
1,TSP's Primary DHCP Server Address,[RFC3495]
2,TSP's Secondary DHCP Server Address,[RFC3495]
3,TSP's Provisioning Server Address,[RFC3495]
4,TSP's AS-REQ/AS-REP Backoff and Retry,[RFC3495]
5,TSP's AP-REQ/AP-REP Backoff and Retry,[RFC3495]
6,TSP's Kerberos Realm Name,[RFC3495]
7,TSP's Ticket Granting Server Utilization,[RFC3495]
8,TSP's Provisioning Timer Value,[RFC3495]
9,TSP's Security Ticket Control,[RFC3594]
10,KDC Server Address,[RFC3634]
11-255,Unassigned,
