Bundle Protocol Version,Value,Description,Reference
none,0,Reserved,[RFC6255]
"6,7",1,Bundle Payload Block,[RFC5050][RFC9171]
6,2,Bundle Authentication Block,[RFC6257]
6,3,Payload Integrity Block,[RFC6257]
6,4,Payload Confidentiality Block,[RFC6257]
6,5,Previous-Hop Insertion Block,[RFC6259]
7,6,Previous node (proximate sender),[RFC9171]
7,7,Bundle age (in milliseconds),[RFC9171]
6,8,Metadata Extension Block,[RFC6258]
6,9,Extension Security Block,[RFC6257]
7,10,Hop count (#prior xmit attempts),[RFC9171]
7,11,Block Integrity,[RFC9172]
7,12,Block Confidentiality,[RFC9172]
7,13-191,Unassigned,
"6,7",192-255,Reserved for Private and/or Experimental Use,[RFC5050][RFC9171]
