Bundle Protocol Version,Value,Description,Reference
"6,7",0,No additional information,[RFC5050][RFC9171]
"6,7",1,Lifetime expired,[RFC5050][RFC9171]
"6,7",2,Forwarded over unidirectional link,[RFC5050][RFC9171]
"6,7",3,Transmission canceled,[RFC5050][RFC9171]
"6,7",4,Depleted storage,[RFC5050][RFC9171]
"6,7",5,Destination endpoint ID unavailable,[RFC5050][RFC9171]
"6,7",6,No known route to destination from here,[RFC5050][RFC9171]
"6,7",7,No timely contact with next node on route,[RFC5050][RFC9171]
"6,7",8,Block unintelligible,[RFC5050][RFC9171]
7,9,Hop limit exceeded,[RFC9171]
7,10,Traffic pared,[RFC9171]
7,11,Block unsupported,[RFC9171]
7,12,Missing security operation,[RFC9172]
7,13,Unknown security operation,[RFC9172]
7,14,Unexpected security operation,[RFC9172]
7,15,Failed security operation,[RFC9172]
7,16,Conflicting security operation,[RFC9172]
,17-254,Unassigned,
"6,7",255,Reserved,[RFC6255][RFC9171]
