Result Code,Type Value,Reference
Success,0,[RFC5415]
Failure (AC List message element MUST be present),1,[RFC5415]
Success (NAT detected),2,[RFC5415]
Join Failure (unspecified),3,[RFC5415]
Join Failure (Resource Depletion),4,[RFC5415]
Join Failure (Unknown Source),5,[RFC5415]
Join Failure (Incorrect Data),6,[RFC5415]
Join Failure (Session ID already in use),7,[RFC5415]
Join Failure (WTP Hardware not supported),8,[RFC5415]
Join Failure (Binding Not Supported),9,[RFC5415]
Reset Failure (Unable to Reset),10,[RFC5415]
Reset Failure (Firmware Write Error),11,[RFC5415]
Configuration Failure (Unable to Apply Requested Configuration - Service Provided Anyhow),12,[RFC5415]
Configuration Failure (Unable to Apply Requested Configuration - Service Not Provided),13,[RFC5415]
Image Data Error (Invalid Checksum),14,[RFC5415]
Image Data Error (Invalid Data Length),15,[RFC5415]
Image Data Error (Other Error),16,[RFC5415]
Image Data Error (Image Already Present),17,[RFC5415]
Message Unexpected (Invalid in current state),18,[RFC5415]
Message Unexpected (Unrecognized Request),19,[RFC5415]
Failure - Missing Mandatory Message Element,20,[RFC5415]
Failure - Unrecognized Message Element,21,[RFC5415]
Data Transfer Error (No Information to Transfer),22,[RFC5415]
Unassigned,23-4294967295,
