CAPWAP Message Element,Type Value,Reference
Reserved,0,[RFC5415]
AC Descriptor,1,[RFC5415]
AC IPv4 List,2,[RFC5415]
AC IPv6 List,3,[RFC5415]
AC Name,4,[RFC5415]
AC Name with Priority,5,[RFC5415]
AC Timestamp,6,[RFC5415]
Add MAC ACL Entry,7,[RFC5415]
Add Station,8,[RFC5415]
Reserved,9,[RFC5415]
CAPWAP Control IPV4 Address,10,[RFC5415]
CAPWAP Control IPV6 Address,11,[RFC5415]
CAPWAP Timers,12,[RFC5415]
Data Transfer Data,13,[RFC5415]
Data Transfer Mode,14,[RFC5415]
Decryption Error Report,15,[RFC5415]
Decryption Error Report Period,16,[RFC5415]
Delete MAC ACL Entry,17,[RFC5415]
Delete Station,18,[RFC5415]
Reserved,19,[RFC5415]
Discovery Type,20,[RFC5415]
Duplicate IPv4 Address,21,[RFC5415]
Duplicate IPv6 Address,22,[RFC5415]
Idle Timeout,23,[RFC5415]
Image Data,24,[RFC5415]
Image Identifier,25,[RFC5415]
Image Information,26,[RFC5415]
Initiate Download,27,[RFC5415]
Location Data,28,[RFC5415]
Maximum Message Length,29,[RFC5415]
CAPWAP Local IPV4 Address,30,[RFC5415]
Radio Administrative State,31,[RFC5415]
Radio Operational State,32,[RFC5415]
Result Code,33,[RFC5415]
Returned Message Element,34,[RFC5415]
Session ID,35,[RFC5415]
Statistics Timer,36,[RFC5415]
Vendor Specific Payload,37,[RFC5415]
WTP Board Data,38,[RFC5415]
WTP Descriptor,39,[RFC5415]
WTP Fallback,40,[RFC5415]
WTP Frame Tunnel Mode,41,[RFC5415]
Reserved,42,[RFC5415]
Reserved,43,[RFC5415]
WTP MAC Type,44,[RFC5415]
WTP Name,45,[RFC5415]
Unused/Reserved,46,[RFC5415]
WTP Radio Statistics,47,[RFC5415]
WTP Reboot Statistics,48,[RFC5415]
WTP Static IP Address Information,49,[RFC5415]
CAPWAP Local IPV6 Address,50,[RFC5415]
CAPWAP Transport Protocol,51,[RFC5415]
MTU Discovery Padding,52,[RFC5415]
ECN Support,53,[RFC5415]
Supported Alternate Tunnel Encapsulations Type,54,[RFC-ietf-opsawg-capwap-alt-tunnel-12]
Alternate Tunnel Encapsulations Type,55,[RFC-ietf-opsawg-capwap-alt-tunnel-12]
Unassigned,56-1023,
IEEE 802.11 Add WLAN,1024,[RFC5416]
IEEE 802.11 Antenna,1025,[RFC5416]
IEEE 802.11 Assigned WTP BSSID,1026,[RFC5416]
IEEE 802.11 Delete WLAN,1027,[RFC5416]
IEEE 802.11 Direct Sequence Control,1028,[RFC5416]
IEEE 802.11 Information Element,1029,[RFC5416]
IEEE 802.11 MAC Operation,1030,[RFC5416]
IEEE 802.11 MIC Countermeasures,1031,[RFC5416]
IEEE 802.11 Multi-Domain Capability,1032,[RFC5416]
IEEE 802.11 OFDM Control,1033,[RFC5416]
IEEE 802.11 Rate Set,1034,[RFC5416]
IEEE 802.11 RSNA Error Report From Station,1035,[RFC5416]
IEEE 802.11 Station,1036,[RFC5416]
IEEE 802.11 Station QoS Profile,1037,[RFC5416]
IEEE 802.11 Station Session Key,1038,[RFC5416]
IEEE 802.11 Statistics,1039,[RFC5416]
IEEE 802.11 Supported Rates,1040,[RFC5416]
IEEE 802.11 Tx Power,1041,[RFC5416]
IEEE 802.11 Tx Power Level,1042,[RFC5416]
IEEE 802.11 Update Station QoS,1043,[RFC5416]
IEEE 802.11 Update WLAN,1044,[RFC5416]
IEEE 802.11 WTP Quality of Service,1045,[RFC5416]
IEEE 802.11 WTP Radio Configuration,1046,[RFC5416]
IEEE 802.11 WTP Radio Fail Alarm Indication,1047,[RFC5416]
IEEE 802.11 WTP Radio Information,1048,[RFC5416]
WAPI Error Report from Station,1049,[China_BWIPS]
GB15629.11AC Capability,1050,[China_BWIPS]
GB15629.11WTP Capability,1051,[China_BWIPS]
GB15629.11WTP Information,1052,[China_BWIPS]
GB15629.11WTP Config,1053,[China_BWIPS]
GB15629.11Add STA Request,1054,[China_BWIPS]
GB15629.11VLAN Tag,1055,[China_BWIPS]
GB15629.11STA SID,1056,[China_BWIPS]
GB15629.11STA Payload Tunnel,1057,[China_BWIPS]
GB15629.11CCK Control,1058,[China_BWIPS]
GB15629.11WTP OFDM Control,1059,[China_BWIPS]
IEEE 802.11 Supported MAC Profiles,1060,[RFC7494]
IEEE 802.11 MAC Profile,1061,[RFC7494]
IEEE 802.11 WTP Alternate Tunnel Failure Indication,1062,[RFC-ietf-opsawg-capwap-alt-tunnel-12]
Unassigned,1063-65535,
