Message,Description,Reference
optionsRequest,"Used by a conference control client to query a conference server for its capabilities, in terms of supported messages.",[RFC6503]
optionsResponse,Returns a list of CCMP messages supported by the specific conference server.,[RFC6503]
blueprintsRequest,"Used by a conference control client to query a conferencing system for its capabilities, in terms of available conference blueprints.",[RFC6503]
blueprintsResponse,The blueprintsResponse returns a list of blueprints supported by the specific conference server.,[RFC6503]
blueprintRequest,"Sent to retrieve the conference object associated with a
        specific blueprint.",[RFC6503]
blueprintResponse,"Returns the conference object associated with a
        specific blueprint.",[RFC6503]
confsRequest,Used by a conference control client to query a conference server for its scheduled/active conferences.,[RFC6503]
confsResponse,Returns the list of the currently activated/scheduled conferences at the server.,[RFC6503]
confRequest,Used to create a conference object and/or to request an operation on the conference object as a whole.,[RFC6503]
confResponse,Indicates the result of the operation on the conference object as a whole.,[RFC6503]
userRequest,"Used to request an operation on the ""user"" element in the conference object.",[RFC6503]
userResponse,"Indicates the result of the requested operation on the ""user"" element in the conference object.",[RFC6503]
usersRequest,"Used to manipulate the ""users"" element in the conference object, including parameters such as the ""allowed-users-list"", ""join-handling"", etc.",[RFC6503]
usersResponse,"Indicates the result of the request to manipulate the ""users"" element in the conference object.",[RFC6503]
sidebarsByValRequest,"Used to retrieve the ""sidebars-by-val"" element of the target conference object.",[RFC6503]
sidebarsByValResponse,Returns the list of the sidebar-by-val conferences within the target conference object.,[RFC6503]
sidebarsByRefRequest,"Used to retrieve the ""sidebars-by-ref"" element of the target conference object.",[RFC6503]
sidebarsByRefResponse,"Returns the list of the sidebar-by-ref conferences associated with the target
        conference object.",[RFC6503]
sidebarByValRequest,Used to request an operation on a sideber-by-val conference.,[RFC6503]
sidebarByValResponse,Indicates the result of the request to manipulate a sidebar-by-val conference.,[RFC6503]
sidebarByRefRequest,Used to request an operation on a sidebar-by-ref conference.,[RFC6503]
sidebarByRefResponse,Indicates the result of the request to manipulate a sidebar-by-ref conference.,[RFC6503]
extendedRequest,"Provides for extensibility of the CCMP message types.
        Each extension is characterized by an extensionName that MUST be included
        in the extendedRequest.",[RFC6503]
extendedResponse,"Returns the XML elements as defined for the specific
        extensionName.",[RFC6503]
