Type,Name,Reference
0x0000,T_NAME,"[RFC8609, Section 3.6]"
0x0001,T_PAYLOAD,"[RFC8609, Section 3.6]"
0x0002,T_KEYIDRESTR,"[RFC8609, Section 3.6]"
0x0003,T_OBJHASHRESTR,"[RFC8609, Section 3.6]"
0x0004,Unassigned,
0x0005,T_PAYLDTYPE,"[RFC8609, Section 3.6.2.2]"
0x0006,T_EXPIRY,"[RFC8609, Section 3.6.2.2]"
0x0007-0x000C,Reserved,[RFC8609]
0x000D,T_DISC_REQ,[RFC-irtf-icnrg-ccninfo-13]
0x000E,T_DISC_REPLY,[RFC-irtf-icnrg-ccninfo-13]
0x000F-0x0FFD,Unassigned,
0x0FFE,T_PAD,"[RFC8609, Section 3.3.1]"
0x0FFF,T_ORG,"[RFC8609, Section 3.3.2]"
0x1000-0x1FFF,Reserved for Experimental Use,"[RFC8609, Section 3]"
0x2000-0xFFFF,Unassigned,
