Payload Type,Reference
ci-trigger-command,[RFC8007]
ci-trigger-status,[RFC8007]
ci-trigger-collection,[RFC8007]
FCI.DeliveryProtocol,[RFC8008]
FCI.AcquisitionProtocol,[RFC8008]
FCI.RedirectionMode,[RFC8008]
FCI.Logging,[RFC8008]
FCI.Metadata,[RFC8008]
logging-file,[RFC7937]
redirection-request,[RFC7975]
redirection-response,[RFC7975]
MI.HostIndex,[RFC8006]
MI.HostMatch,[RFC8006]
MI.HostMetadata,[RFC8006]
MI.PathMatch,[RFC8006]
MI.PatternMatch,[RFC8006]
MI.PathMetadata,[RFC8006]
MI.SourceMetadata,[RFC8006]
MI.Source,[RFC8006]
MI.LocationACL,[RFC8006]
MI.LocationRule,[RFC8006]
MI.Footprint,[RFC8006]
MI.TimeWindowACL,[RFC8006]
MI.TimeWindowRule,[RFC8006]
MI.TimeWindow,[RFC8006]
MI.ProtocolACL,[RFC8006]
MI.ProtocolRule,[RFC8006]
MI.DeliveryAuthorization,[RFC8006]
MI.Cache,[RFC8006]
MI.Auth,[RFC8006]
MI.Grouping,[RFC8006]
FCI.RedirectTarget,[RFC8804]
MI.FallbackTarget,[RFC8804]
MI.UriSigning,[RFC9246]
