RLtype,Description,Reference
0-40,RESERVED by CAtypes registry,[RFC4776][RFC7035]
41-110,Unassigned,
111,relative location reference,[RFC7035]
112,Unassigned,
113,relative location shape 2D point,[RFC7035]
114,relative location shape 3D point,[RFC7035]
115,relative location shape circular,[RFC7035]
116,relative location shape spherical,[RFC7035]
117,relative location shape elliptical,[RFC7035]
118,relative location shape ellipsoid,[RFC7035]
119,relative location shape 2D polygon,[RFC7035]
120,relative location shape 3D polygon,[RFC7035]
121,relative location shape prism,[RFC7035]
122,relative location shape arc-band,[RFC7035]
123,relative location dynamic orientation,[RFC7035]
124,relative location dynamic speed,[RFC7035]
125,relative location dynamic heading,[RFC7035]
126,relative location map type,[RFC7035]
127,relative location map URI,[RFC7035]
128,RESERVED by CAtypes registry,[RFC4776][RFC7035]
129,relative location map coordinates,[RFC7035]
130,relative location map angle,[RFC7035]
131,relative location map scale,[RFC7035]
132-255,Unassigned,
