Value,Name,PIB Module,Description,Reference
0x8001,,,IP Highway,[Shai_Herzog]
0x8002,,,IP Highway,[Shai_Herzog]
0x8003,,,IP Highway,[Shai_Herzog]
0x8004,,,IP Highway,[Shai_Herzog]
0x8005,,,Fujitsu Application Server Software Division,[Tetsuharu_Hanada]
0x8006,,,HP OpenView PolicyXpert,[Brian_O_Keefe]
0x8007,,,HP OpenView PolicyXpert COPS-PR PXPIB,[Brian_O_Keefe]
0x8008,,,PacketCable Dynamic Quality of Service,[Jason_Gaedtke]
0x8009,go3gppPib,go3gppPib,COPS usage for 3GPP GO interface,[ftp://ftp.3gpp.org/specs/Specs/archive/29_series/29.207/]
0x800a,,,"PacketCable Multimedia
[http://www.packetcable.com/specifications/multimedia.html]",
0x800b,,,Juniper Networks,[John_Scano]
0x800c,ITUT-RwPIB,ITUT-RwPIB,Q.3303.1 (Rw interface) COPS alternative,[ITU-T Recommendation Q.3303.1]
0x800d,ITUT-RcPIB,ITUT-RcPIB,Q.3304.1 (Rc interface) COPS alternative,[ITU-T Recommendation Q.3304.1]
