Name,Value,Key Type,Description,Change Controller,Reference,Recommended
Reserved for Private Use,Integer values less than -65536,,,,[RFC8152],No
Unassigned,-65536 to -1,,,,,
Reserved,0,,,,[RFC8152],No
P-256,1,EC2,NIST P-256 also known as secp256r1,,[RFC8152],Yes
P-384,2,EC2,NIST P-384 also known as secp384r1,,[RFC8152],Yes
P-521,3,EC2,NIST P-521 also known as secp521r1,,[RFC8152],Yes
X25519,4,OKP,X25519 for use w/ ECDH only,,[RFC8152],Yes
X448,5,OKP,X448 for use w/ ECDH only,,[RFC8152],Yes
Ed25519,6,OKP,Ed25519 for use w/ EdDSA only,,[RFC8152],Yes
Ed448,7,OKP,Ed448 for use w/ EdDSA only,,[RFC8152],Yes
secp256k1,8,EC2,SECG secp256k1 curve,IESG,[RFC8812],No
