Name,Label,Value Type,Value Registry,Description,Reference
Reserved for Private Use,less than -65536,,,,[RFC9052]
delegated to the COSE Header Algorithm Parameters registry,-65536 to -1,,,,
Reserved,0,,,,[RFC9052]
alg,1,int / tstr,COSE Algorithms registry,Cryptographic algorithm to use,[RFC9052]
crit,2,[+ label],COSE Header Parameters registry,Critical headers to be understood,[RFC9052]
content type,3,tstr / uint,[COAP Content-Formats] or [Media Types] registry,Content type of the payload,[RFC9052]
kid,4,bstr,,Key identifier,[RFC9052]
IV,5,bstr,,Full Initialization Vector,[RFC9052]
Partial IV,6,bstr,,Partial Initialization Vector,[RFC9052]
counter signature,7,COSE_Signature / [+ COSE_Signature ],,CBOR-encoded signature structure,[RFC8152]
Unassigned,8,,,,
CounterSignature0,9,bstr,,Counter signature with implied signer and headers,[RFC8152]
kid context,10,bstr,,Identifies the context for the key identifier,"[RFC8613, Section 5.1]"
Countersignature version 2,11,COSE_Countersignature / [+ COSE_Countersignature],,V2 countersignature attribute,[RFC-ietf-cose-countersign-10]
Countersignature0 version 2,12,COSE_Countersignature0,,V2 Abbreviated Countersignature,[RFC-ietf-cose-countersign-10]
Unassigned,13-31,,,,
x5bag,32,COSE_X509,,An unordered bag of X.509 certificates,[RFC-ietf-cose-x509-09]
x5chain,33,COSE_X509,,An ordered chain of X.509 certificates,[RFC-ietf-cose-x509-09]
x5t,34,COSE_CertHash,,Hash of an X.509 certificate,[RFC-ietf-cose-x509-09]
x5u,35,uri,,URI pointing to an X.509 certificate,[RFC-ietf-cose-x509-09]
Unassigned,36-255,,,,
CUPHNonce,256,bstr,,Challenge Nonce,[FIDO Device Onboard Specification]
CUPHOwnerPubKey,257,array,,Public Key,[FIDO Device Onboard Specification]
