Key Type,Name,Label,CBOR Type,Description,Reference
1,crv,-1,int / tstr,"EC identifier - Taken from the ""COSE Elliptic Curves"" registry",[RFC-ietf-cose-rfc8152bis-algs-12]
2,crv,-1,int / tstr,"EC identifier - Taken from the ""COSE Elliptic Curves"" registry",[RFC-ietf-cose-rfc8152bis-algs-12]
4,k,-1,bstr,Key Value,[RFC-ietf-cose-rfc8152bis-algs-12]
1,x,-2,bstr,x-coordinate,[RFC-ietf-cose-rfc8152bis-algs-12]
2,x,-2,bstr,Public Key,[RFC-ietf-cose-rfc8152bis-algs-12]
2,y,-3,bstr / bool,y-coordinate,[RFC-ietf-cose-rfc8152bis-algs-12]
1,d,-4,bstr,Private key,[RFC-ietf-cose-rfc8152bis-algs-12]
2,d,-4,bstr,Private key,[RFC-ietf-cose-rfc8152bis-algs-12]
3,n,-1,bstr,the RSA modulus n,[RFC8230]
3,e,-2,bstr,the RSA public exponent e,[RFC8230]
3,d,-3,bstr,the RSA private exponent d,[RFC8230]
3,p,-4,bstr,the prime factor p of n,[RFC8230]
3,q,-5,bstr,the prime factor q of n,[RFC8230]
3,dP,-6,bstr,dP is d mod (p - 1),[RFC8230]
3,dQ,-7,bstr,dQ is d mod (q - 1),[RFC8230]
3,qInv,-8,bstr,qInv is the CRT coefficient q^(-1) mod p,[RFC8230]
3,other,-9,array,"other prime infos, an array",[RFC8230]
3,r_i,-10,bstr,"a prime factor r_i of n, where i >= 3",[RFC8230]
3,d_i,-11,bstr,d_i = d mod (r_i - 1),[RFC8230]
3,t_i,-12,bstr,"the CRT coefficient t_i = (r_1 * r_2 * ... *
        r_(i-1))^(-1) mod r_i",[RFC8230]
5,pub,-1,bstr,Public key for HSS/LMS hash-based digital signature,[RFC8778]
