Value,Description,Reference
0,Reserved,
1,OPTION_CLIENTID,[RFC3315]
2,OPTION_SERVERID,[RFC3315]
3,OPTION_IA_NA,[RFC3315]
4,OPTION_IA_TA,[RFC3315]
5,OPTION_IAADDR,[RFC3315]
6,OPTION_ORO,[RFC3315]
7,OPTION_PREFERENCE,[RFC3315]
8,OPTION_ELAPSED_TIME,[RFC3315]
9,OPTION_RELAY_MSG,[RFC3315]
10,Unassigned,
11,OPTION_AUTH,[RFC3315]
12,OPTION_UNICAST,[RFC3315]
13,OPTION_STATUS_CODE,[RFC3315]
14,OPTION_RAPID_COMMIT,[RFC3315]
15,OPTION_USER_CLASS,[RFC3315]
16,OPTION_VENDOR_CLASS,[RFC3315]
17,OPTION_VENDOR_OPTS,[RFC3315]
18,OPTION_INTERFACE_ID,[RFC3315]
19,OPTION_RECONF_MSG,[RFC3315]
20,OPTION_RECONF_ACCEPT,[RFC3315]
21,OPTION_SIP_SERVER_D,[RFC3319]
22,OPTION_SIP_SERVER_A,[RFC3319]
23,OPTION_DNS_SERVERS,[RFC3646]
24,OPTION_DOMAIN_LIST,[RFC3646]
25,OPTION_IA_PD,[RFC3633]
26,OPTION_IAPREFIX,[RFC3633]
27,OPTION_NIS_SERVERS,[RFC3898]
28,OPTION_NISP_SERVERS,[RFC3898]
29,OPTION_NIS_DOMAIN_NAME,[RFC3898]
30,OPTION_NISP_DOMAIN_NAME,[RFC3898]
31,OPTION_SNTP_SERVERS,[RFC4075]
32,OPTION_INFORMATION_REFRESH_TIME,[RFC4242]
33,OPTION_BCMCS_SERVER_D,[RFC4280]
34,OPTION_BCMCS_SERVER_A,[RFC4280]
35,Unassigned,
36,OPTION_GEOCONF_CIVIC,[RFC4776]
37,OPTION_REMOTE_ID,[RFC4649]
38,OPTION_SUBSCRIBER_ID,[RFC4580]
39,OPTION_CLIENT_FQDN,[RFC4704]
40,OPTION_PANA_AGENT,[RFC5192]
41,OPTION_NEW_POSIX_TIMEZONE,[RFC4833]
42,OPTION_NEW_TZDB_TIMEZONE,[RFC4833]
43,OPTION_ERO,[RFC4994]
44,OPTION_LQ_QUERY,[RFC5007]
45,OPTION_CLIENT_DATA,[RFC5007]
46,OPTION_CLT_TIME,[RFC5007]
47,OPTION_LQ_RELAY_DATA,[RFC5007]
48,OPTION_LQ_CLIENT_LINK,[RFC5007]
49,OPTION_MIP6_HNIDF,[RFC6610]
50,OPTION_MIP6_VDINF,[RFC6610]
51,OPTION_V6_LOST,[RFC5223]
52,OPTION_CAPWAP_AC_V6,[RFC5417]
53,OPTION_RELAY_ID,[RFC5460]
54,OPTION-IPv6_Address-MoS,[RFC5678]
55,OPTION-IPv6_FQDN-MoS,[RFC5678]
56,OPTION_NTP_SERVER,[RFC5908]
57,OPTION_V6_ACCESS_DOMAIN,[RFC5986]
58,OPTION_SIP_UA_CS_LIST,[RFC6011]
59,OPT_BOOTFILE_URL,[RFC5970]
60,OPT_BOOTFILE_PARAM,[RFC5970]
61,OPTION_CLIENT_ARCH_TYPE,[RFC5970]
62,OPTION_NII,[RFC5970]
63,OPTION_GEOLOCATION,[RFC6225]
64,OPTION_AFTR_NAME,[RFC6334]
65,OPTION_ERP_LOCAL_DOMAIN_NAME,[RFC6440]
66,OPTION_RSOO,[RFC6422]
67,OPTION_PD_EXCLUDE,[RFC6603]
68,OPTION_VSS,[RFC6607]
69,OPTION_MIP6_IDINF,[RFC6610]
70,OPTION_MIP6_UDINF,[RFC6610]
71,OPTION_MIP6_HNP,[RFC6610]
72,OPTION_MIP6_HAA,[RFC6610]
73,OPTION_MIP6_HAF,[RFC6610]
74,OPTION_RDNSS_SELECTION,[RFC6731]
75,OPTION_KRB_PRINCIPAL_NAME,[RFC6784]
76,OPTION_KRB_REALM_NAME,[RFC6784]
77,OPTION_KRB_DEFAULT_REALM_NAME,[RFC6784]
78,OPTION_KRB_KDC,[RFC6784]
79,OPTION_CLIENT_LINKLAYER_ADDR,[RFC6939]
80,OPTION_LINK_ADDRESS,[RFC6977]
81,OPTION_RADIUS,[RFC7037]
82,OPTION_SOL_MAX_RT,[RFC7083]
83,OPTION_INF_MAX_RT,[RFC7083]
84,OPTION_ADDRSEL,[RFC7078]
85,OPTION_ADDRSEL_TABLE,[RFC7078]
86,OPTION_V6_PCP_SERVER,[RFC7291]
87,OPTION_DHCPV4_MSG,[RFC7341]
88,OPTION_DHCP4_O_DHCP6_SERVER,[RFC7341]
89,OPTION_S46_RULE,[RFC7598]
90,OPTION_S46_BR,[RFC7598]
91,OPTION_S46_DMR,[RFC7598]
92,OPTION_S46_V4V6BIND,[RFC7598]
93,OPTION_S46_PORTPARAMS,[RFC7598]
94,OPTION_S46_CONT_MAPE,[RFC7598]
95,OPTION_S46_CONT_MAPT,[RFC7598]
96,OPTION_S46_CONT_LW,[RFC7598]
97,OPTION_4RD,[RFC7600]
98,OPTION_4RD_MAP_RULE,[RFC7600]
99,OPTION_4RD_NON_MAP_RULE,[RFC7600]
100,OPTION_LQ_BASE_TIME,[RFC7653]
101,OPTION_LQ_START_TIME,[RFC7653]
102,OPTION_LQ_END_TIME,[RFC7653]
103,DHCP Captive-Portal,[RFC7710]
104,OPTION_MPL_PARAMETERS,[RFC7774]
105,OPTION_ANI_ATT,[RFC7839]
106,OPTION_ANI_NETWORK_NAME,[RFC7839]
107,OPTION_ANI_AP_NAME,[RFC7839]
108,OPTION_ANI_AP_BSSID,[RFC7839]
109,OPTION_ANI_OPERATOR_ID,[RFC7839]
110,OPTION_ANI_OPERATOR_REALM,[RFC7839]
111,OPTION_S46_PRIORITY,[RFC8026]
112,"OPTION_MUD_URL_V6 (TEMPORARY - registered 2016-12-06, expires 2017-12-06)",[draft-ietf-opsawg-mud]
113,OPTION_V6_PREFIX64,[RFC-ietf-softwire-multicast-prefix-option-15]
114-142,Unassigned,
143,OPTION-IPv6_ADDRESS-ANDSF,[RFC6153]
144-65535,Unassigned,
