Type Code,Description,Reference
0,Reserved,[RFC8175]
1,Status,[RFC8175]
2,IPv4 Connection Point,[RFC8175]
3,IPv6 Connection Point,[RFC8175]
4,Peer Type,[RFC8175]
5,Heartbeat Interval,[RFC8175]
6,Extensions Supported,[RFC8175]
7,MAC Address,[RFC8175]
8,IPv4 Address,[RFC8175]
9,IPv6 Address,[RFC8175]
10,IPv4 Attached Subnet,[RFC8175]
11,IPv6 Attached Subnet,[RFC8175]
12,Maximum Data Rate (Receive) (MDRR),[RFC8175]
13,Maximum Data Rate (Transmit) (MDRT),[RFC8175]
14,Current Data Rate (Receive) (CDRR),[RFC8175]
15,Current Data Rate (Transmit) (CDRT),[RFC8175]
16,Latency,[RFC8175]
17,Resources (RES),[RFC8175]
18,Relative Link Quality (Receive) (RLQR),[RFC8175]
19,Relative Link Quality (Transmit) (RLQT),[RFC8175]
20,Maximum Transmission Unit (MTU),[RFC8175]
21,Hop Count,[RFC-ietf-manet-dlep-multi-hop-extension-07]
22,Hop Control,[RFC-ietf-manet-dlep-multi-hop-extension-07]
23-65407,Unassigned,
65408-65534,Reserved for Private Use,[RFC8175]
65535,Reserved,[RFC8175]
