Type Code,Description,Reference
0,Reserved,[RFC8175]
1,Session Initialization Message,[RFC8175]
2,Session Initialization Response Message,[RFC8175]
3,Session Update Message,[RFC8175]
4,Session Update Response Message,[RFC8175]
5,Session Termination Message,[RFC8175]
6,Session Termination Response Message,[RFC8175]
7,Destination Up Message,[RFC8175]
8,Destination Up Response Message,[RFC8175]
9,Destination Announce Message,[RFC8175]
10,Destination Announce Response Message,[RFC8175]
11,Destination Down Message,[RFC8175]
12,Destination Down Response Message,[RFC8175]
13,Destination Update Message,[RFC8175]
14,Link Characteristics Request Message,[RFC8175]
15,Link Characteristics Response Message,[RFC8175]
16,Heartbeat Message,[RFC8175]
17-65519,Unassigned,
65520-65534,Reserved for Private Use,[RFC8175]
65535,Reserved,[RFC8175]
