Value,Description,Reference
0,Reserved,[RFC-ietf-homenet-dncp-12]
1,Request network state,[RFC-ietf-homenet-dncp-12]
2,Request node state,[RFC-ietf-homenet-dncp-12]
3,Node endpoint,[RFC-ietf-homenet-dncp-12]
4,Network state,[RFC-ietf-homenet-dncp-12]
5,Node state,[RFC-ietf-homenet-dncp-12]
6,Reserved for future use (was: Custom),[RFC-ietf-homenet-dncp-12]
7,Reserved for future use (was: Fragment count),[RFC-ietf-homenet-dncp-12]
8,Peer,[RFC-ietf-homenet-dncp-12]
9,Keep-alive interval,[RFC-ietf-homenet-dncp-12]
10,Trust-Verdict,[RFC-ietf-homenet-dncp-12]
11-31,Unassigned,
32-511,Reserved for per-DNCP profile use,[RFC-ietf-homenet-dncp-12]
512-767,Unassigned,
768-1023,Reserved for Private Use,[RFC-ietf-homenet-dncp-12]
1024-65535,Reserved for future use,[RFC-ietf-homenet-dncp-12]
