RR Type,_NODE NAME,Reference
*,_example,"[RFC8552, Section 4.1.4]"
HTTPS,_https,[RFC-ietf-dnsop-svcb-https-12]
NULL,_ta-* [2],[RFC8145]
OPENPGPKEY,_openpgpkey,[RFC7929]
SMIMEA,_smimecert,[RFC8162]
SRV,_dccp,[RFC2782]
SRV,_http,[RFC4386]
SRV,_ipv6,[RFC5026]
SRV,_ldap,[RFC4386]
SRV,_ocsp,[RFC4386]
SRV,_sctp,[RFC2782]
SRV,_sip,[RFC5509]
SRV,_tcp,[RFC2782]
SRV,_udp,[RFC2782]
SRV,_xmpp,[RFC3921]
SVCB,_dns,[RFC-ietf-add-svcb-dns-08]
TLSA,_dane,[RFC7671]
TLSA,_sctp,[RFC6698]
TLSA,_tcp,[RFC6698]
TLSA,_udp,[RFC6698]
TXT,_acme-challenge,[RFC8555]
TXT,_dmarc,[RFC7489]
TXT,_domainkey,[RFC6376]
TXT,_mta-sts,[RFC8461]
TXT,_spf,[RFC7208]
TXT,_sztp,[RFC8572]
TXT,_tcp,[RFC6763]
TXT,_udp,[RFC6763]
TXT,_validation-contactemail,[https://cabforum.org/wp-content/uploads/CA-Browser-Forum-BR-1.7.4.pdf]
TXT,_validation-contactphone,[https://cabforum.org/wp-content/uploads/CA-Browser-Forum-BR-1.7.4.pdf]
TXT,_vouch,[RFC5518]
URI,_acct,[RFC7566][RFC Errata 7064]
URI,_dccp,[RFC7566]
URI,_email,[RFC6118]
URI,_ems,[RFC6118]
URI,_fax,[RFC6118]
URI,_ft,[RFC6118]
URI,_h323,[RFC6118]
URI,_iax,[RFC6118]
URI,_ical-access,[RFC6118]
URI,_ical-sched,[RFC6118]
URI,_ifax,[RFC6118]
URI,_im,[RFC6118]
URI,_mms,[RFC6118]
URI,_pres,[RFC6118]
URI,_pstn,[RFC6118]
URI,_sctp,[RFC6118]
URI,_sip,[RFC6118]
URI,_sms,[RFC6118]
URI,_tcp,[RFC6118]
URI,_udp,[RFC6118]
URI,_unifmsg,[RFC6118]
URI,_vcard,[RFC6118]
URI,_videomsg,[RFC6118]
URI,_voice,[RFC6118]
URI,_voicemsg,[RFC6118]
URI,_vpim,[RFC6118]
URI,_web,[RFC6118]
URI,_xmpp,[RFC6118]
