Code,Label,Description,Reference
0,Reserved,,[RFC-ietf-dots-rfc8782-bis-08]
1,attack-mitigation-in-progress,"Attack mitigation setup is in progress (e.g., changing the network path to redirect the inbound traffic to a DOTS mitigator).",[RFC-ietf-dots-rfc8782-bis-08]
2,attack-successfully-mitigated,"Attack is being successfully mitigated (e.g., traffic is redirected to a DDoS mitigator and attack traffic is dropped).",[RFC-ietf-dots-rfc8782-bis-08]
3,attack-stopped,Attack has stopped and the DOTS client can withdraw the mitigation request.,[RFC-ietf-dots-rfc8782-bis-08]
4,attack-exceeded-capability,Attack has exceeded the mitigation provider capability.,[RFC-ietf-dots-rfc8782-bis-08]
5,dots-client-withdrawn-mitigation,DOTS client has withdrawn the mitigation request and the mitigation is active but terminating.,[RFC-ietf-dots-rfc8782-bis-08]
6,attack-mitigation-terminated,Attack mitigation is now terminated.,[RFC-ietf-dots-rfc8782-bis-08]
7,attack-mitigation-withdrawn,Attack mitigation is withdrawn.,[RFC-ietf-dots-rfc8782-bis-08]
8,attack-mitigation-signal-loss,Attack mitigation will be triggered for the mitigation request only when the DOTS signal channel session is lost.,[RFC-ietf-dots-rfc8782-bis-08]
9-2147483647,Unassigned,,
