Name,Space (Binary),Space (Decimal),Reference
CS0,000000,0,[RFC2474]
CS1,001000,8,[RFC2474]
CS2,010000,16,[RFC2474]
CS3,011000,24,[RFC2474]
CS4,100000,32,[RFC2474]
CS5,101000,40,[RFC2474]
CS6,110000,48,[RFC2474]
CS7,111000,56,[RFC2474]
AF11,001010,10,[RFC2597]
AF12,001100,12,[RFC2597]
AF13,001110,14,[RFC2597]
AF21,010010,18,[RFC2597]
AF22,010100,20,[RFC2597]
AF23,010110,22,[RFC2597]
AF31,011010,26,[RFC2597]
AF32,011100,28,[RFC2597]
AF33,011110,30,[RFC2597]
AF41,100010,34,[RFC2597]
AF42,100100,36,[RFC2597]
AF43,100110,38,[RFC2597]
EF PHB,101110,46,[RFC3246]
VOICE-ADMIT,101100,44,[RFC5865]
