Value,Unk,Act,Number,Name,Reference
0,0,00,0,PadN option,[RFC4728]
1,0,00,1,Route Request,[RFC4728]
2,0,00,2,Route Reply,[RFC4728]
3,0,00,3,Route Error option,[RFC4728]
4-31,,,,Unassigned,
32,0,01,0,Acknowledgement option,[RFC4728]
33-95,,,,Unassigned,
96,0,11,0,DSR Source Route option,[RFC4728]
97-127,,,,Unassigned,
128,1,00,0,Timeout option,[RFC4728]
129,1,00,1,Destination and Flow ID option,[RFC4728]
130-159,,,,Unassigned,
160,1,01,0,Acknowledgement Request option,[RFC4728]
161-223,,,,Unassigned,
224,1,11,0,Pad1 option,[RFC4728]
