Value,Description,Reference
0,Reserved,
1,Identity,[RFC3748]
2,Notification,[RFC3748]
3,Legacy Nak,[RFC3748]
4,MD5-Challenge,[RFC3748]
5,One-Time Password (OTP),[RFC3748]
6,Generic Token Card (GTC),[RFC3748]
7,Allocated,[RFC3748]
8,Allocated,[RFC3748]
9,RSA Public Key Authentication,[William_Whelan]
10,DSS Unilateral,[William_Nace]
11,KEA,[William_Nace]
12,KEA-VALIDATE,[William_Nace]
13,EAP-TLS,[[Aboba]]
14,Defender Token (AXENT),[Michael_Rosselli]
15,RSA Security SecurID EAP,[Magnus_Nystrom]
16,Arcot Systems EAP,[Rob_Jerdonek]
17,EAP-Cisco Wireless,[Stuart_Norman]
18,GSM Subscriber Identity Modules (EAP-SIM),[RFC4186]
19,SRP-SHA1,[James_Carlson]
20,Unassigned,
21,EAP-TTLS,[RFC5281]
22,Remote Access Service,[Steven_Fields]
23,EAP-AKA Authentication,[RFC4187]
24,EAP-3Com Wireless,[Albert_Young]
25,PEAP,[Ashwin_Palekar]
26,MS-EAP-Authentication,[Ashwin_Palekar]
27,Mutual Authentication w/Key Exchange (MAKE),[Romain_Berrendonner]
28,CRYPTOCard,[Stephen_M_Webb]
29,EAP-MSCHAP-V2,[Darran_Potter]
30,DynamID,[Pascal_Merlin]
31,Rob EAP,[Sana_Ullah]
32,Protected One-Time Password,[RFC4793][Magnus_Nystrom]
33,MS-Authentication-TLV,[Ashwin_Palekar]
34,SentriNET,[Joe_Kelleher]
35,EAP-Actiontec Wireless,[Victor_Chang]
36,Cogent Systems Biometrics Authentication EAP,[John_Xiong]
37,AirFortress EAP,[Richard_Hibbard]
38,EAP-HTTP Digest,[Oliver_K_Tavakoli]
39,SecureSuite EAP,[Matt_Clements]
40,DeviceConnect EAP,[David_Pitard]
41,EAP-SPEKE,[Don_Zick]
42,EAP-MOBAC,[Tom_Rixom]
43,EAP-FAST,[RFC4851]
44,ZoneLabs EAP (ZLXEAP),[Darrin_Bogue]
45,EAP-Link,[Don_Zick]
46,EAP-PAX,[T_Charles_Clancy]
47,EAP-PSK,[RFC4764]
48,EAP-SAKE,[RFC4763]
49,EAP-IKEv2,[RFC5106]
50,EAP-AKA',[RFC5448]
51,EAP-GPSK,[RFC5433]
52,EAP-pwd,[RFC5931]
53,EAP-EKE Version 1,[RFC6124]
54,EAP Method Type for PT-EAP,[RFC7171]
55,TEAP,[RFC7170]
56-191,Unassigned,
192-253,Unassigned,
254,Reserved for the Expanded Type,[RFC3748]
255,Experimental,[RFC3748]
256-4294967295,Unassigned,
