Auth Method(s),Code,Specification,Status
auth,fail,[RFC7601] section 2.7.4,active
auth,none,[RFC7601] section 2.7.4,active
auth,pass,[RFC7601] section 2.7.4,active
auth,permerror,[RFC7601] section 2.7.4,active
auth,temperror,[RFC7601] section 2.7.4,active
dkim,fail,[RFC7601] section 2.7.1,active
dkim,neutral,[RFC7601] section 2.7.1,active
dkim,none,[RFC7601] section 2.7.1,active
dkim,pass,[RFC7601] section 2.7.1,active
dkim,permerror,[RFC7601] section 2.7.1,active
dkim,policy,[RFC7601] section 2.7.1,active
dkim,temperror,[RFC7601] section 2.7.1,active
dkim-adsp,discard,"[RFC7601], [RFC5617] section 5.4",deprecated
dkim-adsp,fail,"[RFC7601], [RFC5617] section 5.4",deprecated
dkim-adsp,none,"[RFC7601], [RFC5617] section 5.4",deprecated
dkim-adsp,nxdomain,"[RFC7601], [RFC5617] section 5.4",deprecated
dkim-adsp,pass,"[RFC7601], [RFC5617] section 5.4",deprecated
dkim-adsp,permerror,"[RFC7601], [RFC5617] section 5.4",deprecated
dkim-adsp,temperror,"[RFC7601], [RFC5617] section 5.4",deprecated
dkim-adsp,unknown,"[RFC7601], [RFC5617] section 5.4",deprecated
dkim-atps,fail,[RFC6541] section 8.3,active
dkim-atps,none,[RFC6541] section 8.3,active
dkim-atps,pass,[RFC6541] section 8.3,active
dkim-atps,permerror,[RFC6541] section 8.3,active
dkim-atps,temperror,[RFC6541] section 8.3,active
dmarc,fail,[RFC7489] section 11.2,active
dmarc,none,[RFC7489] section 11.2,active
dmarc,pass,[RFC7489] section 11.2,active
dmarc,permerror,[RFC7489] section 11.2,active
dmarc,temperror,[RFC7489],active
domainkeys,fail,[RFC7601] section 2.7.1,deprecated
domainkeys,neutral,[RFC7601] section 2.7.1,deprecated
domainkeys,none,[RFC7601] section 2.7.1,deprecated
domainkeys,permerror,[RFC7601] section 2.7.1,deprecated
domainkeys,policy,[RFC7601] section 2.7.1,deprecated
domainkeys,pass,[RFC7601] section 2.7.1,deprecated
domainkeys,temperror,[RFC7601] section 2.7.1,deprecated
iprev,fail,[RFC7601] section 2.7.3,active
iprev,pass,[RFC7601] section 2.7.3,active
iprev,permerror,[RFC7601] section 2.7.3,active
iprev,temperror,[RFC7601] section 2.7.3,active
rrvs,fail,[RFC7293] section 11,active
rrvs,none,[RFC7293] section 11,active
rrvs,pass,[RFC7293] section 11,active
rrvs,permerror,[RFC7293] section 11,active
rrvs,temperror,[RFC7293] section 11,active
rrvs,unknown,[RFC7293] section 11,active
sender-id,fail,[RFC7601] section 2.7.2,active
sender-id,hardfail,[RFC5451] section 2.4.2,deprecated
sender-id,neutral,[RFC7601] section 2.7.2,active
sender-id,none,[RFC7601] section 2.7.2,active
sender-id,pass,[RFC7601] section 2.7.2,active
sender-id,permerror,[RFC7601] section 2.7.2,active
sender-id,policy,[RFC7601] section 2.7.2,active
sender-id,softfail,[RFC7601] section 2.7.2,active
sender-id,temperror,[RFC7601] section 2.7.2,active
smime,fail,[RFC7281] section 3.1,active
smime,neutral,[RFC7281] section 3.1,active
smime,none,[RFC7281] section 3.1,active
smime,pass,[RFC7281] section 3.1,active
smime,permerror,[RFC7281] section 3.1,active
smime,policy,[RFC7281] section 3.1,active
smime,temperror,[RFC7281] section 3.1,active
spf,fail,[RFC7601] section 2.7.2,active
spf,hardfail,[RFC5451] section 2.4.2,deprecated
spf,neutral,[RFC7601] section 2.7.2,active
spf,none,[RFC7601] section 2.7.2,active
spf,pass,[RFC7601] section 2.7.2,active
spf,permerror,[RFC7601] section 2.7.2,active
spf,policy,[RFC7601] section 2.7.2,active
spf,softfail,[RFC7601] section 2.7.2,active
spf,temperror,[RFC7601] section 2.7.2,active
vbr,fail,[RFC6212] section 4,active
vbr,none,[RFC6212] section 4,active
vbr,pass,[RFC6212] section 4,active
vbr,permerror,[RFC6212] section 4,active
vbr,temperror,[RFC6212] section 4,active
