Token,Description,Reference
cordless,Cordless handset,[RFC-ietf-ecrit-additional-data-37]
fixed,Fixed phone,[RFC-ietf-ecrit-additional-data-37]
satellite,Satellite phone,[RFC-ietf-ecrit-additional-data-37]
sensor-fixed,Fixed (non mobile) sensor/alarm device,[RFC-ietf-ecrit-additional-data-37]
desktop,Soft client on desktop PC,[RFC-ietf-ecrit-additional-data-37]
laptop,Soft client on laptop type device,[RFC-ietf-ecrit-additional-data-37]
tablet,Soft client on tablet type device,[RFC-ietf-ecrit-additional-data-37]
alarm-monitored,Alarm system,[RFC-ietf-ecrit-additional-data-37]
sensor-mobile,Mobile sensor device,[RFC-ietf-ecrit-additional-data-37]
aircraft,Aircraft telematics device,[RFC-ietf-ecrit-additional-data-37]
automobile,Automobile/cycle/off-road telematics,[RFC-ietf-ecrit-additional-data-37]
truck,Truck/construction telematics,[RFC-ietf-ecrit-additional-data-37]
farm,Farm equipment telematics,[RFC-ietf-ecrit-additional-data-37]
marine,Marine telematics,[RFC-ietf-ecrit-additional-data-37]
personal,Personal telematics device,[RFC-ietf-ecrit-additional-data-37]
feature-phone,Feature- (not smart-) cellular phone,[RFC-ietf-ecrit-additional-data-37]
smart-phone,Smart-phone cellular phone (native),[RFC-ietf-ecrit-additional-data-37]
smart-phone-app,Soft client app on smart-phone,[RFC-ietf-ecrit-additional-data-37]
unknown-device,Soft client on unknown device type,[RFC-ietf-ecrit-additional-data-37]
game,Gaming console,[RFC-ietf-ecrit-additional-data-37]
text-only,Other text device,[RFC-ietf-ecrit-additional-data-37]
NA,Not Available,[RFC-ietf-ecrit-additional-data-37]
