Name,Description,Reference,Change Controller
head,The main lamps used to light the road ahead,[RFC8148],IESG
interior,"Interior lamp, often at the top center",[RFC8148],IESG
fog-front,Front fog lamps,[RFC8148],IESG
fog-rear,Rear fog lamps,[RFC8148],IESG
brake,Brake indicator lamps,[RFC8148],IESG
brake-center,Center high-mounted stop Lamp,[RFC8148],IESG
position-front,Front position/parking/standing lamps,[RFC8148],IESG
position-rear,Rear position/parking/standing lamps,[RFC8148],IESG
turn-left,Left turn/directional lamps,[RFC8148],IESG
turn-right,Right turn/directional lamps,[RFC8148],IESG
hazard,Hazard/four-way lamps,[RFC8148],IESG
