Class,Type,Subtype,URI Scheme(s),Functional Specification,Security Considerations,Intended Usage,Enumservice Specification(s),Requester(s),Further Information
"Application-Based, Ancillary",acct,N/A,acct,"This Enumservice indicates that the resource
	      can be identified by the associated 'acct' URI [RFC7565].","For DNS considerations in avoiding loops when
	    searching for ""acct"" NAPTRs,
	    see [RFC7566], Section 6.
	    For security considerations,
	    see [RFC7566], Section 7.",COMMON,[RFC7566],[Laurent_Walter_Goix],
"Application-Based, Common",email,mailto,mailto,"This Enumservice indicates that the resource can be
           addressed by the associated URI in order to send an
           email.","See [RFC4355], Section 6.",COMMON,"[RFC4355]
        [RFC6118]","[Rudolf_Brandner]
        [Lawrence_Conroy]
        [Richard_Stastny]",
"Application-Based, Common",ems,mailto,mailto,"This Enumservice indicates that the resource
           identified by the associated URI is capable
           of receiving a message using an email protocol.
         
        
           EMS content is sent over SMTP using the format
           specified by TS 23.140 [15] Section 8.4.4 and TS
           26.140 [16] Section 4, as an MMS message.  Within
           such a message, EMS content is carried as either a
           text or application/octet-stream MIME sub-part (see
           TS 26.140 [16], Section 4.1).
         
        
           For references see [RFC4355].","There are no specific security issues with this
           Enumservice. However, the general considerations of
           Section 6 of [RFC4355] apply.",COMMON,"[RFC4355]
        [RFC6118]","[Rudolf_Brandner]
        [Lawrence_Conroy]
        [Richard_Stastny]",
"Application-Based, Common",ems,tel,tel,"This Enumservice indicates that the resource
           identified by the associated URI is capable
           of receiving a message using the Enhanced Message
           Service (EMS) [14] (For reference see
           [RFC4355]).","There are no specific security issues with this
           Enumservice. However, the general considerations of
           Section 6 of [RFC4355] apply.",COMMON,"[RFC4355]
        [RFC6118]","[Rudolf_Brandner]
        [Lawrence_Conroy]
        [Richard_Stastny]","Note that an indication of EMS can be taken as
           implying that the recipient is capable of receiving
           SMS messages at this address as well."
"Application-Based, Subset",fax,tel,tel,"This Enumservice indicates that the resource
           identified by the associated URI is capable
           of being contacted to provide a communication
           session during which facsimile documents can be
           sent.
         
        
           A client selecting this NAPTR will have support
           for generating and sending facsimile documents to
           the recipient using the PSTN session and transfer
           protocols specified in [12] and [13] in
           [RFC4355] -
           in short, they will have a fax program with a local
           or shared PSTN access over which they can send
           faxes.
        
        
          References are contained in [RFC4355].","See [RFC4355], Section 6.",COMMON,"[RFC4355]
        [RFC6118]","[Rudolf_Brandner]
        [Lawrence_Conroy]
        [Richard_Stastny]",
"Application-Based, Subset",ft,ftp,ftp,"This Enumservice indicates that the resource
           identified by the associated URI is a file
           service from which a file or file listing can be
           retrieved.","See [RFC4002], Section 5.",COMMON,"[RFC4002]
        [RFC6118]","[Rudolf_Brandner]
        [Lawrence_Conroy]
        [Richard_Stastny]",
Protocol-Based,h323,N/A,h323,"See [RFC3762], Section 3.","See [RFC3762], Section 5.",COMMON,"[RFC3762]
        [RFC6118]",[Orit_Levin],
Protocol-Based,iax,N/A,iax,"The 'iax' Enumservice is used to map E.164 numbers to
          IAX URIs. Such URIs identify resources capable of being
          contacted to provide a communication session using the
          IAX protocol [RFC5456].
        
        
          A client selecting this NAPTR needs to be able to support
          communication utilizing the IAX protocol.","See [RFC6315], Section 4.",COMMON,[RFC6315],"[Ed_Guy]
        [Klaus_Darilion]",
"Application-Based, Common",ical-access,http,http,"This Enumservice indicates that the resource identified
           can be addressed by the associated URI in order to access
           a user's calendar (for example free/busy status) using
           the CalDAV [7] protocol for Internet calendaring.
        
        
          References are contained in [RFC5333].","See [RFC5333], Section 4.",COMMON,"[RFC5333]
        [RFC6118]",[Rohan_Mahy],
"Application-Based, Common",ical-access,https,https,"This Enumservice indicates that the resource identified
           can be addressed by the associated URI in order to access
           a user's calendar (for example free/busy status) using
           the CalDAV [7] protocol for Internet calendaring.
        
        
          References are contained in [RFC5333].","See [RFC5333], Section 4.",COMMON,"[RFC5333]
        [RFC6118]",[Rohan_Mahy],
