Value,Description,Reference
0,Reserved,[RFC7432]
1,Ethernet Auto-discovery,[RFC7432]
2,MAC/IP Advertisement,[RFC7432][RFC9135]
3,Inclusive Multicast Ethernet Tag,[RFC7432]
4,Ethernet Segment,[RFC7432]
5,IP Prefix,[RFC9136]
6,"Selective Multicast Ethernet Tag Route (TEMPORARY - registered 2017-09-25, extension registered 2021-09-07, expires 2022-09-25)",[draft-ietf-bess-evpn-igmp-mld-proxy]
7,"IGMP Join Synch Route (TEMPORARY - registered 2017-09-25, extension registered 2021-09-07, expires 2022-09-25)",[draft-ietf-bess-evpn-igmp-mld-proxy]
8,"IGMP Leave Synch Route (TEMPORARY - registered 2017-09-25, extension registered 2021-09-07, expires 2022-09-25)",[draft-ietf-bess-evpn-igmp-mld-proxy]
9,Per-Region I-PMSI A-D route,[RFC-ietf-bess-evpn-bum-procedure-updates-14]
10,S-PMSI A-D route,[RFC-ietf-bess-evpn-bum-procedure-updates-14]
11,Leaf A-D route,[RFC-ietf-bess-evpn-bum-procedure-updates-14]
12-255,Unassigned,
