Value,Description,Reference
1.3.6.1.4.1.31103.1.1,fedfsUuid,[RFC7532]
1.3.6.1.4.1.31103.1.2,fedfsNetAddr,historic [RFC7532]
1.3.6.1.4.1.31103.1.3,fedfsNetPort,historic [RFC7532]
1.3.6.1.4.1.31103.1.4,fedfsFsnUuid,[RFC7532]
1.3.6.1.4.1.31103.1.5,fedfsNsdbName,historic [RFC7532]
1.3.6.1.4.1.31103.1.6,fedfsNsdbPort,historic [RFC7532]
1.3.6.1.4.1.31103.1.7,fedfsNcePrefix,historic [RFC7532]
1.3.6.1.4.1.31103.1.8,fedfsFslUuid,[RFC7532]
1.3.6.1.4.1.31103.1.9,fedfsFslHost,historic [RFC7532]
1.3.6.1.4.1.31103.1.10,fedfsFslPort,historic [RFC7532]
1.3.6.1.4.1.31103.1.11,fedfsFslTTL,historic [RFC7532]
1.3.6.1.4.1.31103.1.12,fedfsAnnotation,[RFC7532]
1.3.6.1.4.1.31103.1.13,fedfsDescr,[RFC7532]
1.3.6.1.4.1.31103.1.14,fedfsNceDN,[RFC7532]
1.3.6.1.4.1.31103.1.15,fedfsFsnTTL,[RFC7532]
1.3.6.1.4.1.31103.1.100,fedfsNfsPath,historic [RFC7532]
1.3.6.1.4.1.31103.1.101,fedfsNfsMajorVer,historic [RFC7532]
1.3.6.1.4.1.31103.1.102,fedfsNfsMinorVer,historic [RFC7532]
1.3.6.1.4.1.31103.1.103,fedfsNfsCurrency,[RFC7532]
1.3.6.1.4.1.31103.1.104,fedfsNfsGenFlagWritable,[RFC7532]
1.3.6.1.4.1.31103.1.105,fedfsNfsGenFlagGoing,[RFC7532]
1.3.6.1.4.1.31103.1.106,fedfsNfsGenFlagSplit,[RFC7532]
1.3.6.1.4.1.31103.1.107,fedfsNfsTransFlagRdma,[RFC7532]
1.3.6.1.4.1.31103.1.108,fedfsNfsClassSimul,[RFC7532]
1.3.6.1.4.1.31103.1.109,fedfsNfsClassHandle,[RFC7532]
1.3.6.1.4.1.31103.1.110,fedfsNfsClassFileid,[RFC7532]
1.3.6.1.4.1.31103.1.111,fedfsNfsClassWritever,[RFC7532]
1.3.6.1.4.1.31103.1.112,fedfsNfsClassChange,[RFC7532]
1.3.6.1.4.1.31103.1.113,fedfsNfsClassReaddir,[RFC7532]
1.3.6.1.4.1.31103.1.114,fedfsNfsReadRank,[RFC7532]
1.3.6.1.4.1.31103.1.115,fedfsNfsReadOrder,[RFC7532]
1.3.6.1.4.1.31103.1.116,fedfsNfsWriteRank,[RFC7532]
1.3.6.1.4.1.31103.1.117,fedfsNfsWriteOrder,[RFC7532]
1.3.6.1.4.1.31103.1.118,fedfsNfsVarSub,[RFC7532]
1.3.6.1.4.1.31103.1.119,fedfsNfsValidFor,[RFC7532]
1.3.6.1.4.1.31103.1.120,fedfsNfsURI,[RFC7532]
1.3.6.1.4.1.31103.1.1001,fedfsNsdbContainerInfo,[RFC7532]
1.3.6.1.4.1.31103.1.1002,fedfsFsn,[RFC7532]
1.3.6.1.4.1.31103.1.1003,fedfsFsl,[RFC7532]
1.3.6.1.4.1.31103.1.1004,fedfsNfsFsl,[RFC7532]
