Value,Name,Reference
0x0000,Reserved,[RFC5810]
0x0001,SET,[RFC5810]
0x0002,SET-PROP,[RFC5810]
0x0003,SET-RESPONSE,[RFC5810]
0x0004,SET-PROP-RESPONSE,[RFC5810]
0x0005,DEL,[RFC5810]
0x0006,DEL-RESPONSE,[RFC5810]
0x0007,GET,[RFC5810]
0x0008,GET-PROP,[RFC5810]
0x0009,GET-RESPONSE,[RFC5810]
0x000A,GET-PROP-RESPONSE,[RFC5810]
0x000B,REPORT,[RFC5810]
0x000C,COMMIT,[RFC5810]
0x000D,COMMIT-RESPONSE,[RFC5810]
0x000E,TRCOMP,[RFC5810]
0x000F-0x7FFF,Unassigned,
0x8000-0xFFFF,Reserved for Private Use,[RFC5810]
