Value,Name,Reference
0x00,E_SUCCESS,[RFC5810]
0x01,E_INVALID_HEADER,[RFC5810]
0x02,E_LENGTH_MISMATCH,[RFC5810]
0x03,E_VERSION_MISMATCH,[RFC5810]
0x04,E_INVALID_DESTINATION_PID,[RFC5810]
0x05,E_LFB_UNKNOWN,[RFC5810]
0x06,E_LFB_NOT_FOUND,[RFC5810]
0x07,E_LFB_INSTANCE_ID_NOT_FOUND,[RFC5810]
0x08,E_INVALID_PATH,[RFC5810]
0x09,E_COMPONENT_DOES_NOT_EXIST,[RFC5810]
0x0A,E_EXISTS,[RFC5810]
0x0B,E_NOT_FOUND,[RFC5810]
0x0C,E_READ_ONLY,[RFC5810]
0x0D,E_INVALID_ARRAY_CREATION,[RFC5810]
0x0E,E_VALUE_OUT_OF_RANGE,[RFC5810]
0x0F,E_CONTENTS_TOO_LONG,[RFC5810]
0x10,E_INVALID_PARAMETERS,[RFC5810]
0x11,E_INVALID_MESSAGE_TYPE,[RFC5810]
0x12,E_INVALID_FLAGS,"[RFC5810][RFC Errata 
          4188]"
0x13,E_INVALID_TLV,[RFC5810]
0x14,E_EVENT_ERROR,[RFC5810]
0x15,E_NOT_SUPPORTED,[RFC5810]
0x16,E_MEMORY_ERROR,[RFC5810]
0x17,E_INTERNAL_ERROR,[RFC5810]
0x18,E_TIMED_OUT,[RFC7391]
0x19,E_INVALID_TFLAGS,[RFC7391]
0x1A,E_INVALID_OP,[RFC7391]
0x1B,E_CONGEST_NT,[RFC7391]
0x1C,E_COMPONENT_NOT_A_TABLE,[RFC7391]
0x1D,E_PERM,[RFC7391]
0x1E,E_BUSY,[RFC7391]
0x1F,E_EMPTY,[RFC7391]
0x20,E_UNKNOWN,[RFC7391]
0x21-0xFE,Unassigned,
0xFF,E_UNSPECIFIED_ERROR,[RFC5810]
0x100-0x200,Reserved for Private Use,[RFC7391]
