Value,Name,Reference
0x0000,Reserved,[RFC5810]
0x0001,REDIRECT-TLV,[RFC5810]
0x0002-0x000F,Unassigned,
0x0010,ASResult-TLV,[RFC5810]
0x0011,ASTreason-TLV,[RFC5810]
0x0012-0x010F,Unassigned,
0x0110,PATH-DATA-TLV,[RFC5810]
0x0111,KEYINFO-TLV,[RFC5810]
0x0112,FULLDATA-TLV,[RFC5810]
0x0113,SPARSEDATA-TLV,[RFC5810]
0x0114,RESULT-TLV,[RFC5810]
0x0115,METADATA-TLV,[RFC5810]
0x0116,REDIRECTDATA-TLV,[RFC5810]
0x0117,TABLERANGE-TLV,[RFC7391]
0x0118,EXTENDEDRESULT-TLV,[RFC7391]
0x0119-0x0FFF,Unassigned,
0x1000,LFBselect-TLV,[RFC5810]
0x1001-0x7FFF,Unassigned,
0x8000-0xFFFF,Reserved for Private Use,[RFC5810]
