cmd,FEAT code,description,type,conf,References and Notes
ABOR,base,Abort,s,m,[RFC959]
ACCT,base,Account,a,m,[RFC959]
ADAT,secu,Authentication/Security Data,a,o,"[RFC2228]
      [RFC2773]
      [RFC4217]"
ALGS,,FTP64 ALG status,,o,[RFC6384] Section 11
ALLO,base,Allocate,s,m,[RFC959]
APPE,base,Append (with create),s,m,[RFC959]
AUTH,secu,Authentication/Security Mechanism,a,o,[RFC2228]
AUTH+,AUTH,Authentication/Security Mechanism,a,o,[2][RFC2773][RFC4217]
CCC,secu,Clear Command Channel,a,o,[RFC2228]
CDUP,base,Change to Parent Directory,a,o,[RFC959]
CONF,secu,Confidentiality Protected Command,a,o,[RFC2228]
CWD,base,Change Working Directory,a,m,[RFC959]
DELE,base,Delete File,s,m,[RFC959]
ENC,secu,Privacy Protected Command,a,o,"[RFC2228]
      [RFC2773]
      [RFC4217]"
EPRT,nat6,Extended Port,p,o,[RFC2428]
EPSV,nat6,Extended Passive Mode,p,o,[RFC2428]
FEAT,feat,Feature Negotiation,a,m [1],[RFC2389]
HELP,base,Help,s,m,[RFC959]
HOST,HOST,Hostname,a,o,[RFC7151]
LANG,UTF8,Language (for Server Messages),p,o,[RFC2640]
LIST,base,List,s,m,[RFC959][RFC1123]
LPRT,hist,Data Port {FOOBAR},p,h,[RFC1545][RFC1639]
LPSV,hist,Passive Mode {FOOBAR},p,h,[RFC1545][RFC1639]
MDTM,MDTM,File Modification Time,s,o,[RFC3659]
MIC,secu,Integrity Protected Command,a,o,"[RFC2228][RFC2773]
      [RFC4217]"
MKD,base,Make Directory,s,o,[RFC959]
MLSD,MLST,List Directory (for machine),s,o,[RFC3659]
MLST,MLST,List Single Object,s,o,[RFC3659]
MODE,base,Transfer Mode,p,m,[RFC959]
NLST,base,Name List,s,m,[RFC959][RFC1123]
NOOP,base,No-Op,s,m,[RFC959]
OPTS,feat,Options,p,m [1],[RFC2389]
PASS,base,Password,a,m,[RFC959]
PASV,base,Passive Mode,p,m,[RFC959][RFC1123]
PBSZ,secu,Protection Buffer Size,p,o,[RFC2228]
PBSZ+,PBSZ,Protection Buffer Size,p,o,[RFC4217]
PORT,base,Data Port,p,m,[RFC959]
PROT,secu,Data Channel Protection Level,p,o,[RFC2228]
PROT+,PROT,Data Channel Protection Level,p,o,[RFC4217]
PWD,base,Print Directory,s,o,[RFC959]
QUIT,base,Logout,a,m,[RFC959]
REIN,base,Reinitialize,a,m,[RFC959]
REST,base,Restart,s/p,m,[RFC959][RFC1123]
REST+,REST,Restart (for STREAM mode),s/p,m,[3][RFC3659]
RETR,base,Retrieve,s,m,[RFC959]
RMD,base,Remove Directory,s,o,[RFC959]
RNFR,base,Rename From,s/p,m,[RFC959]
RNTO,base,Rename From,s,m,[RFC959]
SITE,base,Site Parameters,s,m,[RFC959][RFC1123]
SIZE,SIZE,File Size,s,o,[RFC3659]
SMNT,base,Structure Mount,a,o,[RFC959]
STAT,base,Status,s,m,[RFC959]
STOR,base,Store,s,m,[RFC959]
STOU,base,Store Unique,a,o,[RFC959][RFC1123]
STRU,base,File Structure,p,m,[RFC959]
SYST,base,System,s,o,[RFC959]
TYPE,base,Representation Type,p,m,[4][RFC959]
USER,base,User Name,a,m,[RFC959]
XCUP,hist,{precursor for CDUP},s,h,"[RFC775]
      [RFC1123]"
XCWD,hist,{precursor for CWD},s,h,"[RFC775]
      [RFC1123]"
XMKD,hist,{precursor for MKD},s,h,"[RFC775]
      [RFC1123]"
XPWD,hist,{precursor for PWD},s,h,"[RFC775]
      [RFC1123]"
XRMD,hist,{precursor for RMD},s,h,"[RFC775]
      [RFC1123]"
-N/A-,TVFS,Trivial Virtual File Store,p,o,[RFC3659]
