Code,Description,Reference
0x0,Reserved,[RFC6374]
0x1,Success,[RFC6374]
0x2,Data Format Invalid,[RFC6374]
0x3,Initialization in Progress,[RFC6374]
0x4,Data Reset Occurred,[RFC6374]
0x5,Resource Temporarily Unavailable,[RFC6374]
0x6-0xF,Unassigned,
0x10,Unspecified Error,[RFC6374]
0x11,Unsupported Version,[RFC6374]
0x12,Unsupported Control Code,[RFC6374]
0x13,Unsupported Data Format,[RFC6374]
0x14,Authentication Failure,[RFC6374]
0x15,Invalid Destination Node Identifier,[RFC6374]
0x16,Connection Mismatch,[RFC6374]
0x17,Unsupported Mandatory TLV Object,[RFC6374]
0x18,Unsupported Query Interval,[RFC6374]
0x19,Administrative Block,[RFC6374]
0x1A,Resource Unavailable,[RFC6374]
0x1B,Resource Released,[RFC6374]
0x1C,Invalid Message,[RFC6374]
0x1D,Protocol Error,[RFC6374]
0x1E-0xFF,Unassigned,
