Code,Description,Reference
0,Padding - copy in response,[RFC6374]
1,Return Address,[RFC6374]
2,Session Query Interval,[RFC6374]
3,Loopback Request,[RFC6374]
4-126,Unassigned,
127,Experimental use,[RFC6374]
128,Padding - do not copy in response,[RFC6374]
129,Destination Address,[RFC6374]
130,Source Address,[RFC6374]
131,"Return UDP Port (TEMPORARY - registered 2014-09-17, extension registered 2015-07-24, expires 2016-09-17)",[draft-ietf-mpls-rfc6374-udp-return-path]
132-254,Unassigned,
255,Experimental use,[RFC6374]
