Value,Description,Reference
0x0000,Reserved,
0x0001,Management Communication Channel (MCC),[RFC5718]
0x0002,Signaling Communication Channel (SCC),[RFC5718]
0x0003-0x0006,Unassigned,
0x0007,"BFD Control, PW-ACH encapsulation (without IP/UDP Headers)",[RFC5885]
0x0008,"S-BFD Control, PW-ACH/L2SS encapsulation (without IP/UDP Headers)",[RFC7885]
0x0009,Unassigned,
0x000A,MPLS Direct Loss Measurement (DLM),[RFC6374]
0x000B,MPLS Inferred Loss Measurement (ILM),[RFC6374]
0x000C,MPLS Delay Measurement (DM),[RFC6374]
0x000D,MPLS Direct Loss and Delay Measurement (DLM+DM),[RFC6374]
0x000E,MPLS Inferred Loss and Delay Measurement (ILM+DM),[RFC6374]
0x000F-0x0020,Unassigned,
0x0021,Associated Channel carries an IPv4 packet,[RFC4385]
0x0022,MPLS-TP CC message,[RFC6428]
0x0023,MPLS-TP CV message,[RFC6428]
0x0024,Protection State Coordination Protocol - Channel Type (PSC-CT),[RFC6378]
0x0025,On-Demand CV,[RFC6426]
0x0026,LI,[RFC6435]
0x0027,PW OAM Message,[RFC6478]
0x0028,MAC Withdraw OAM Message,[RFC7769]
0x0029-0x0056,Unassigned,
0x0057,Associated Channel carries an IPv6 packet,[RFC4385]
0x0058,Fault OAM,[RFC6427]
0x0059,G-ACh Advertisement Protocol,[RFC7212]
0x005A-0x7FF7,Unassigned,
0x7FF8-0x7FFF,Reserved for Experimental Use,[RFC5586]
0x8000-0x8901,Unassigned,
0x8902,G.8113.1 OAM,[RFC6671]
0x8903-0xFFFF,Unassigned,
