Error Code,Error Case,Class,Additional Information,Reference
1,Common Header Parse Error,Protocol-Error,"For subcode 3 only, Message Length Info carries the calculated message length.",[RFC5971]
2,Hop Limit Exceeded,Permanent-Failure,,[RFC5971]
3,Incorrect Encapsulation,Protocol-Error,,[RFC5971]
4,Incorrectly Delivered Message,Protocol-Error,,[RFC5971]
5,No Routing State,Protocol-Error,,[RFC5971]
6,Unknown NSLPID,Permanent-Failure,,[RFC5971]
7,Endpoint Found,Permanent-Failure,,[RFC5971]
8,Message Too Large,Permanent-Failure,MTU Info,[RFC5971]
9,Object Type Error,Protocol-Error,Object Type Info,[RFC5971]
10,Object Value Error,Protocol-Error,1 or 2 Object Value Info fields; see appendix A.4.4.10,[RFC5971]
11,Invalid IP-Layer TTL,Permanent-Failure,,[RFC5971]
12,MRI Validation Failure,Permanent-Failure,Object Value Info,[RFC5971]
