Value,Message/Option,Reference
0,M_NOOP,[RFC-ietf-anima-grasp-15]
1,M_DISCOVERY,[RFC-ietf-anima-grasp-15]
2,M_RESPONSE,[RFC-ietf-anima-grasp-15]
3,M_REQ_NEG,[RFC-ietf-anima-grasp-15]
4,M_REQ_SYN,[RFC-ietf-anima-grasp-15]
5,M_NEGOTIATE,[RFC-ietf-anima-grasp-15]
6,M_END,[RFC-ietf-anima-grasp-15]
7,M_WAIT,[RFC-ietf-anima-grasp-15]
8,M_SYNCH,[RFC-ietf-anima-grasp-15]
9,M_FLOOD,[RFC-ietf-anima-grasp-15]
10-98,Unassigned,
99,M_INVALID,[RFC-ietf-anima-grasp-15]
100,O_DIVERT,[RFC-ietf-anima-grasp-15]
101,O_ACCEPT,[RFC-ietf-anima-grasp-15]
102,O_DECLINE,[RFC-ietf-anima-grasp-15]
103,O_IPv6_LOCATOR,[RFC-ietf-anima-grasp-15]
104,O_IPv4_LOCATOR,[RFC-ietf-anima-grasp-15]
105,O_FQDN_LOCATOR,[RFC-ietf-anima-grasp-15]
106,O_URI_LOCATOR,[RFC-ietf-anima-grasp-15]
107-255,Unassigned,
