Objective Name,Reference
EX0,[RFC-ietf-anima-grasp-15]
EX1,[RFC-ietf-anima-grasp-15]
EX2,[RFC-ietf-anima-grasp-15]
EX3,[RFC-ietf-anima-grasp-15]
EX4,[RFC-ietf-anima-grasp-15]
EX5,[RFC-ietf-anima-grasp-15]
EX6,[RFC-ietf-anima-grasp-15]
EX7,[RFC-ietf-anima-grasp-15]
EX8,[RFC-ietf-anima-grasp-15]
EX9,[RFC-ietf-anima-grasp-15]
PrefixManager,[RFC-ietf-anima-prefix-management-07]
PrefixManager.Params,[RFC-ietf-anima-prefix-management-07]
AN_ACP,[RFC-ietf-anima-autonomic-control-plane-30]
SRV.est,[RFC-ietf-anima-autonomic-control-plane-30]
AN_Proxy,[RFC-ietf-anima-bootstrapping-keyinfra-45]
AN_join_registrar,[RFC-ietf-anima-bootstrapping-keyinfra-45]
