Certificate_Type,Value,Description/Defined In,Reference
None,0,,[RFC4535]
Reserved,1-3,,[RFC4535]
X.509v3 Certificate -- Signature -- DER Encoding,4,This type MUST be implemented. Contains a DER encoded X.509 certificate.,[RFC4535]
Reserved,5-6,,[RFC4535]
Certificate Revocation List (CRL),7,"Contains a BER          
encoded X.509 CRL.",[RFC4535]
Reserved,8-9,,[RFC4535]
X.509 Certificate -- Attribute,10,See Section 3.6 of [RFC4306].,[RFC4306]
Raw RSA Key,11,See Section 3.6 of [RFC4306].,[RFC4306]
Hash and URL of X.509 Certificate,12,See Section 3.6 of [RFC4306].,[RFC4306]
Hash and URL of X.509 bundle,13,See Section 3.6 of [RFC4306].,[RFC4306]
Reserved to IANA,14-49152,,[RFC4535]
Private Use,49153-65535,,[RFC4535]
