Notification Type,Value,Reference
None,0,[RFC4535]
Invalid-Payload-Type,1,[RFC4535]
Reserved,2-3,[RFC4535]
Invalid-Version,4,[RFC4535]
Invalid-Group-ID,5,[RFC4535]
Invalid-Sequence-ID,6,[RFC4535]
Payload-Malformed,7,[RFC4535]
Invalid-Key-Information,8,[RFC4535]
Invalid-ID-Information,9,[RFC4535]
Reserved,10,[RFC4535]
Invalid-Certificate,11,[RFC4535]
Cert-Type-Unsupported,12,[RFC4535]
Invalid-Cert-Authority,13,[RFC4535]
Authentication-Failed,14,[RFC4535]
Reserved,15-16,[RFC4535]
Certificate-Unavailable,17,[RFC4535]
Reserved,18,[RFC4535]
Unauthorized-Request,19,[RFC4535]
Reserved,20-22,[RFC4535]
Acknowledgment,23,[RFC4535]
Reserved,24-25,[RFC4535]
Nack,26,[RFC4535]
Cookie-Required,27,[RFC4535]
Cookie,28,[RFC4535]
Mechanism Choices,29,[RFC4535]
Leave Group,30,[RFC4535]
Departure Accepted,31,[RFC4535]
Request to Depart Error,32,[RFC4535]
Invalid Exchange Type,33,[RFC4535]
IPv4 Value,34,[RFC4535]
IPv6 Value,35,[RFC4535]
Prohibited by Group Policy,36,[RFC4535]
Prohibited by Locally Configured Policy,37,[RFC4535]
Reserved to IANA,38-49152,[RFC4535]
Private Use,49153-65535,[RFC4535]
