Value,Packet Type,Reference
0,Reserved,[RFC7401]
1,I1 - the HIP Initiator Packet,[RFC7401]
2,R1 - the HIP Responder Packet,[RFC7401]
3,I2 - the Second HIP Initiator Packet,[RFC7401]
4,R2 - the Second HIP Responder Packet,[RFC7401]
5-15,Unassigned,
16,UPDATE - the HIP Update Packet,[RFC7401]
17,NOTIFY - the HIP Notify Packet,[RFC7401]
18,CLOSE - the HIP Association Closing Packet,[RFC7401]
19,CLOSE_ACK - the HIP Closing Acknowledgment Packet,[RFC7401]
20,HIP Distributed Hash Table Resource Record (HDRR),[RFC6537]
21-31,Unassigned,
32,HIP_DATA,[RFC6078]
33-127,Unassigned,
