Value,Registration Failure Type,Reference
0,Registration requires additional credentials,[RFC8003]
1,Registration type unavailable,[RFC8003]
2,Insufficient resources,[RFC8003]
3,Invalid certificate,[RFC8003]
4,Bad certificate,[RFC8003]
5,Unsupported certificate,[RFC8003]
6,Certificate expired,[RFC8003]
7,Certificate other,[RFC8003]
8,Unknown CA,[RFC8003]
9,Simultaneous Rendezvous and Control Relay Service usage prohibited,[RFC-ietf-hip-native-nat-traversal-33]
10-200,Unassigned,
201-255,Reserved for Private Use,[RFC8003]
