Authentication Scheme Name,Reference,Notes
Basic,[RFC7617],
Bearer,[RFC6750],
Digest,[RFC7616],
HOBA,"[RFC7486, Section 3]","The HOBA scheme can be used with either HTTP
   servers or proxies.  When used in response to a 407 Proxy
   Authentication Required indication, the appropriate proxy
   authentication header fields are used instead, as with any other HTTP
   authentication scheme."
Mutual,[RFC8120],
Negotiate,"[RFC4559, Section 3]",This authentication scheme violates both HTTP semantics (being connection-oriented) and syntax (use of syntax incompatible with the WWW-Authenticate and Authorization header field syntax).
OAuth,"[RFC5849, Section 3.5.1]",
SCRAM-SHA-1,[RFC7804],
SCRAM-SHA-256,[RFC7804],
vapid,"[RFC 8292, Section 3]",
