Code,Name,Description,Reference
0x00,NO_ERROR,Graceful shutdown,"[RFC9113, Section 7]"
0x01,PROTOCOL_ERROR,Protocol error detected,"[RFC9113, Section 7]"
0x02,INTERNAL_ERROR,Implementation fault,"[RFC9113, Section 7]"
0x03,FLOW_CONTROL_ERROR,Flow-control limits exceeded,"[RFC9113, Section 7]"
0x04,SETTINGS_TIMEOUT,Settings not acknowledged,"[RFC9113, Section 7]"
0x05,STREAM_CLOSED,Frame received for closed stream,"[RFC9113, Section 7]"
0x06,FRAME_SIZE_ERROR,Frame size incorrect,"[RFC9113, Section 7]"
0x07,REFUSED_STREAM,Stream not processed,"[RFC9113, Section 7]"
0x08,CANCEL,Stream cancelled,"[RFC9113, Section 7]"
0x09,COMPRESSION_ERROR,Compression state not updated,"[RFC9113, Section 7]"
0x0a,CONNECT_ERROR,TCP connection error for CONNECT method,"[RFC9113, Section 7]"
0x0b,ENHANCE_YOUR_CALM,Processing capacity exceeded,"[RFC9113, Section 7]"
0x0c,INADEQUATE_SECURITY,Negotiated TLS parameters not acceptable,"[RFC9113, Section 7]"
0x0d,HTTP_1_1_REQUIRED,Use HTTP/1.1 for the request,"[RFC9113, Section 7]"
0x0e-0xffffffff,Unassigned,,
